player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_sca_sca,header_sca_sca_per90,header_sca_types_sca_passes_live,header_sca_types_sca_passes_dead,header_sca_types_sca_dribbles,header_sca_types_sca_shots,header_sca_types_sca_fouled,header_gca_gca,header_gca_gca_per90,header_gca_types_gca_passes_live,header_gca_types_gca_passes_dead,header_gca_types_gca_dribbles,header_gca_types_gca_shots,header_gca_types_gca_fouled,header_gca_types_gca_og_for,matches
Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,42,1.78,38,1,0,0,2,5,0.21,4,0,0,0,0,1,Matches
Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,30,3.26,16,1,8,2,3,2,0.22,1,0,0,1,0,0,Matches
Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,7,0.22,4,0,1,2,0,3,0.09,2,0,0,1,0,0,Matches
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,20,0.90,15,3,0,2,0,2,0.09,2,0,0,0,0,0,Matches
Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,21,1.76,18,2,0,1,0,2,0.17,2,0,0,0,0,0,Matches
Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Stuart Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,48,2.52,37,0,4,4,3,8,0.42,5,0,1,2,0,0,Matches
José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,15,1.71,10,0,0,1,4,2,0.23,1,0,0,0,1,0,Matches
José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,24,1995,3.7,14,3.74,8,2,3,0,1,0,0.00,0,0,0,0,0,0,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,120,3.83,51,49,4,8,8,13,0.41,5,5,0,2,1,0,Matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,1,0.03,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,16,2.25,16,0,0,0,0,3,0.42,3,0,0,0,0,0,Matches
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,4,0.57,4,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,3,0.09,2,1,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,11,2.95,8,0,2,1,0,1,0.27,1,0,0,0,0,0,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.4,4,9.00,2,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,103,2.84,76,1,10,5,11,12,0.33,6,0,4,0,2,0,Matches
Roger Assalé,ci CIV,"FW,MF",Leganés,es La Liga,25,1993,5.9,19,3.22,13,0,1,0,5,3,0.51,1,0,0,0,2,0,Matches
Miguel Atienza,es ESP,MF,Eibar,es La Liga,,,0.3,1,3.00,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,eng Premier League,27,1992,8.3,22,2.64,17,2,2,0,1,3,0.36,2,1,0,0,0,0,Matches
Youcef Attal,dz ALG,"FW,DF",Nice,fr Ligue 1,23,1996,11.1,31,2.78,18,0,9,1,3,2,0.18,1,0,0,0,1,0,Matches
