player,nationality,position,squad,comp_level,age,birth_year,games,header_playing_minutes,header_playing_minutes_per_game,header_playing_minutes_pct,header_playing_minutes_90s,header_playing_games_starts,header_starts_minutes_per_start,header_starts_games_subs,header_subs_minutes_per_sub,header_subs_unused_subs,header_subs_points_per_match,header_team_success_on_goals_for,header_team_success_on_goals_against,header_team_success_plus_minus,header_team_success_plus_minus_per90,header_team_success_plus_minus_wowy,header_team_success_on_xg_for,header_xg_team_success_on_xg_against,header_xg_team_success_xg_plus_minus,header_xg_team_success_xg_plus_minus_per90,header_xg_team_success_xg_plus_minus_wowy,header_xg_team_success_matches
Arnaud Souquet,fr FRA,DF,Montpellier,fr Ligue 1,27,1992,24,"2,016",84,80.0,22.4,22,89,2,27,1,1.42,26,24,+2,+0.09,+0.27,23.3,26.6,-3.3,-0.15,-0.33,Matches
Djibril Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,22,1997,29,"1,746",60,57.1,19.4,18,84,11,22,2,1.31,34,32,+2,+0.10,+0.31,30.8,27.9,+2.9,+0.15,+0.16,Matches
Çağlar Söyüncü,tr TUR,DF,Leicester City,eng Premier League,23,1996,34,"3,036",89,88.8,33.7,34,89,0,,1,1.65,63,33,+30,+0.89,+1.83,53.6,41.7,+11.9,+0.35,-0.53,Matches
Nikolas Špalek,sk SVK,"MF,FW",Brescia,it Serie A,22,1997,23,"1,431",62,44.2,15.9,18,70,5,33,11,0.87,17,30,-13,-0.82,+0.63,19.5,29.2,-9.7,-0.61,+0.45,Matches
Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,26,1993,23,"1,499",65,46.3,16.7,17,80,6,23,10,1.78,24,21,+3,+0.18,-0.85,29.2,21.8,+7.5,+0.45,-0.30,Matches
Marco Sportiello,it ITA,GK,Atalanta,it Serie A,27,1992,5,439,88,13.5,4.9,5,88,0,,30,2.40,17,4,+13,+2.67,+1.44,11.6,3.3,+8.3,+1.71,+0.58,Matches
Mattia Sprocati,it ITA,FW,Parma,it Serie A,26,1992,20,590,30,18.2,6.6,4,70,16,20,16,0.90,8,9,-1,-0.15,-0.15,7.0,12.0,-5.0,-0.76,-0.31,Matches
Bassem Srarfi,tn TUN,"FW,DF",Nice,fr Ligue 1,22,1997,3,133,44,5.3,1.5,1,76,2,29,5,2.00,2,2,0,0.00,-0.11,1.6,1.5,+0.2,+0.13,+0.41,Matches
Dennis Srbeny,de GER,"MF,FW",Norwich City,eng Premier League,25,1994,8,47,6,1.4,0.5,0,,8,6,10,0.88,2,1,+1,+1.91,+3.25,2.3,1.1,+1.2,+2.22,+2.87,Matches
Dennis Srbeny,de GER,"FW,MF",Paderborn 07,de Bundesliga,25,1994,17,"1,119",66,36.6,12.4,14,73,3,30,0,0.47,12,26,-14,-1.13,-0.06,12.7,24.7,-12.0,-0.97,-0.23,Matches
Jerry St. Juste,nl NED,DF,Mainz 05,de Bundesliga,22,1996,25,"2,113",85,69.1,23.5,24,88,1,8,1,1.16,30,43,-13,-0.55,+0.21,30.2,41.3,-11.1,-0.47,-0.31,Matches
Jack Stacey,eng ENG,DF,Bournemouth,eng Premier League,23,1996,19,"1,549",82,45.3,17.2,17,89,2,21,9,0.84,20,27,-7,-0.41,+0.46,21.3,25.0,-3.7,-0.22,+0.27,Matches
Kostas Stafylidis,gr GRE,DF,Hoffenheim,de Bundesliga,25,1993,7,398,57,13.0,4.4,4,85,3,20,14,1.43,7,10,-3,-0.68,-0.78,4.6,6.6,-2.0,-0.45,-0.51,Matches
Benjamin Stambouli,fr FRA,DF,Schalke 04,de Bundesliga,28,1990,9,810,90,26.5,9.0,9,90,0,,0,1.67,14,9,+5,+0.56,+1.56,12.4,10.2,+2.2,+0.25,+0.92,Matches
Jozo Stanić,hr CRO,DF,Augsburg,de Bundesliga,20,1999,0,,,,,0,,0,,5,,,,,,,,,,,,Matches
Adrian Stanilewicz,pl POL,"DF,MF",Leverkusen,de Bundesliga,19,2000,0,,,,,0,,0,,11,,,,,,,,,,,,Matches
Junior Stanislas,eng ENG,"MF,DF",Bournemouth,eng Premier League,29,1989,15,712,47,20.8,7.9,7,69,8,28,4,0.53,9,16,-7,-0.88,-0.29,10.0,10.4,-0.4,-0.05,+0.39,Matches
Filip Stankovic,rs SRB,GK,Inter,it Serie A,17,2002,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
Leonardo Stanzani,it ITA,FW,Bologna,it Serie A,19,2000,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
Niklas Stark,de GER,DF,Hertha BSC,de Bundesliga,24,1995,21,"1,731",82,56.6,19.2,20,84,1,45,6,1.00,26,40,-14,-0.73,-0.93,23.1,30.6,-7.5,-0.39,-0.13,Matches
Richard Stearman,eng ENG,DF,Sheffield Utd,eng Premier League,31,1987,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,26,1992,1,7,7,0.2,0.1,1,7,0,,12,0.00,0,0,0,0.00,+0.69,0.0,0.1,-0.1,-1.32,-0.64,Matches
Renato Steffen,ch SUI,"MF,FW",Wolfsburg,de Bundesliga,27,1991,27,"1,585",59,51.8,17.6,19,76,8,18,5,1.37,31,25,+6,+0.34,+0.58,28.6,20.7,+7.9,+0.45,+0.42,Matches
Zack Steffen,us USA,GK,Düsseldorf,de Bundesliga,24,1995,17,"1,530",90,50.0,17.0,17,90,0,,0,0.88,18,36,-18,-1.06,-0.29,16.5,31.3,-14.9,-0.87,-0.45,Matches
Maarten Stekelenburg,nl NED,GK,Everton,eng Premier League,36,1982,0,,,,,0,,0,,24,,,,,,,,,,,,Matches
Nils Stendera,de GER,MF,Eint Frankfurt,de Bundesliga,18,2000,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Dale Stephens,eng ENG,MF,Brighton,eng Premier League,30,1989,33,"2,530",77,74.0,28.1,28,88,5,11,2,1.12,31,42,-11,-0.39,+0.01,31.9,39.4,-7.5,-0.27,+0.25,Matches
Jack Stephens,eng ENG,DF,Southampton,eng Premier League,25,1994,28,"2,451",88,71.7,27.2,27,89,1,45,6,1.43,38,38,0,0.00,+0.84,39.4,38.9,+0.4,+0.02,-0.01,Matches
Mariusz Stępiński,pl POL,FW,Hellas Verona,it Serie A,24,1995,21,706,34,21.8,7.8,7,65,14,18,12,1.10,12,11,+1,+0.13,+0.31,11.4,12.9,-1.5,-0.19,-0.10,Matches
Raheem Sterling,eng ENG,FW,Manchester City,eng Premier League,24,1994,33,"2,651",80,77.5,29.5,30,86,3,25,3,2.00,71,31,+40,+1.36,-1.80,70.9,29.2,+41.8,+1.42,-0.49,Matches
Enda Stevens,ie IRL,DF,Sheffield Utd,eng Premier League,29,1990,38,"3,345",88,97.8,37.2,38,88,0,,0,1.42,39,39,0,0.00,0.00,41.2,46.5,-5.3,-0.14,-0.15,Matches
Marco Stiepermann,de GER,MF,Norwich City,eng Premier League,28,1991,24,"1,180",49,34.5,13.1,14,73,10,16,10,0.50,13,32,-19,-1.45,-0.24,14.2,24.6,-10.3,-0.79,-0.28,Matches
Lars Stindl,de GER,"MF,FW",M'gladbach,de Bundesliga,30,1988,25,"1,432",57,46.8,15.9,14,82,11,26,2,1.80,30,20,+10,+0.63,-0.26,32.6,18.7,+13.9,+0.87,+0.28,Matches
Kevin Stöger,at AUT,MF,Düsseldorf,de Bundesliga,25,1993,17,"1,268",75,41.4,14.1,14,87,3,19,0,0.88,18,24,-6,-0.43,+0.83,16.0,21.2,-5.2,-0.37,+0.48,Matches
Vlatko Stojanovski,mk MKD,FW,Nîmes,fr Ligue 1,22,1997,6,123,21,4.9,1.4,1,63,5,12,11,0.17,0,1,-1,-0.73,-0.21,1.2,2.3,-1.1,-0.79,-0.31,Matches
John Stones,eng ENG,DF,Manchester City,eng Premier League,25,1994,16,"1,122",70,32.8,12.5,12,87,4,19,5,2.19,33,16,+17,+1.36,-0.59,27.4,11.5,+15.9,+1.28,-0.38,Matches
Thomas Strakosha,al ALB,GK,Lazio,it Serie A,24,1995,36,"3,240",90,100.0,36.0,36,90,0,,0,2.08,76,39,+37,+1.03,,64.3,48.4,+15.9,+0.44,,Matches
Simon Straudi,it ITA,MF,Werder Bremen,de Bundesliga,20,1999,0,,,,,0,,0,,6,,,,,,,,,,,,Matches
Tobias Strobl,de GER,"MF,DF",M'gladbach,de Bundesliga,29,1990,10,615,62,20.1,6.8,6,85,4,27,9,1.60,14,11,+3,+0.44,-0.41,11.6,10.3,+1.3,+0.19,-0.67,Matches
Christian Strohdiek,de GER,DF,Paderborn 07,de Bundesliga,31,1988,16,"1,363",85,44.5,15.1,16,85,0,,16,0.38,18,40,-22,-1.45,-0.66,17.8,31.0,-13.2,-0.87,-0.10,Matches
Kevin Strootman,nl NED,MF,Marseille,fr Ligue 1,29,1990,25,"1,416",57,56.2,15.7,15,88,10,9,0,2.00,21,17,+4,+0.25,-0.40,22.2,20.3,+1.8,+0.12,-0.02,Matches
Jens Stryger Larsen,dk DEN,DF,Udinese,it Serie A,28,1991,32,"2,699",84,83.3,30.0,31,86,1,22,0,1.13,26,32,-6,-0.20,+1.13,31.2,36.5,-5.3,-0.18,+0.83,Matches
Stefano Sturaro,it ITA,MF,Genoa,it Serie A,26,1993,16,"1,252",78,38.6,13.9,15,81,1,34,2,1.31,18,24,-6,-0.43,+0.38,20.4,20.2,+0.2,+0.01,+0.50,Matches
Damián Suárez,uy URU,DF,Getafe,es La Liga,31,1988,30,"2,592",86,75.8,28.8,30,86,0,,2,1.53,37,26,+11,+0.38,+0.93,30.7,28.9,+1.8,+0.06,+0.36,Matches
Denis Suárez,es ESP,"MF,FW",Celta Vigo,es La Liga,25,1994,26,"1,630",63,47.7,18.1,20,77,6,17,3,1.04,18,21,-3,-0.17,+0.29,20.4,19.3,+1.1,+0.06,+0.36,Matches
Luis Suárez,uy URU,FW,Barcelona,es La Liga,32,1987,28,"1,998",71,58.4,22.2,22,82,6,33,0,2.14,54,18,+36,+1.62,+0.86,38.2,22.6,+15.6,+0.70,-0.21,Matches
Mathías Suárez,uy URU,DF,Montpellier,fr Ligue 1,23,1996,1,60,60,2.4,0.7,1,60,0,,9,0.00,0,1,-1,-1.50,-1.57,0.9,0.3,+0.6,+0.95,+1.06,Matches
Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,34,1984,0,,,0.0,0.0,0,,0,,17,3.00,4,1,+3,,,,,,,,Matches
Neven Subotić,rs SRB,DF,Union Berlin,de Bundesliga,30,1988,23,"1,965",85,64.2,21.8,23,85,0,,8,1.04,26,38,-12,-0.55,-0.14,24.1,37.0,-13.0,-0.59,-0.52,Matches
Isaac Success,ng NGA,"FW,MF",Watford,eng Premier League,23,1996,5,70,14,2.0,0.8,0,,5,14,7,0.80,0,3,-3,-3.86,-3.19,0.7,1.7,-1.1,-1.36,-1.04,Matches
Marek Suchý,cz CZE,DF,Augsburg,de Bundesliga,31,1988,7,397,57,13.0,4.4,4,84,3,21,13,0.14,3,13,-10,-2.27,-2.00,4.4,7.7,-3.3,-0.75,-0.48,Matches
Niklas Süle,de GER,DF,Bayern Munich,de Bundesliga,23,1995,8,641,80,20.9,7.1,8,80,0,,0,1.88,20,9,+11,+1.54,-0.58,16.1,6.2,+9.9,+1.39,-0.02,Matches
Ki Sung-yueng,kr KOR,MF,Mallorca,es La Liga,30,1989,1,9,9,0.3,0.1,0,,1,9,0,3.00,0,1,-1,-10.00,-9.37,0.0,0.3,-0.3,-3.01,-2.48,Matches
Ki Sung-yueng,kr KOR,MF,Newcastle Utd,eng Premier League,30,1989,3,137,46,4.0,1.5,1,73,2,32,2,0.33,0,6,-6,-3.94,-3.56,0.7,1.7,-1.0,-0.66,-0.01,Matches
Stoppila Sunzu,zm ZAM,DF,Metz,fr Ligue 1,30,1989,17,"1,352",80,53.7,15.0,14,87,3,46,1,0.94,13,23,-10,-0.67,-0.82,16.5,19.1,-2.6,-0.17,+0.19,Matches
Andrew Surman,eng ENG,MF,Bournemouth,eng Premier League,32,1986,5,235,47,6.9,2.6,2,89,3,19,24,1.20,2,6,-4,-1.53,-0.94,4.1,5.8,-1.7,-0.63,-0.29,Matches
Sam Surridge,eng ENG,FW,Bournemouth,eng Premier League,21,1998,4,27,7,0.8,0.3,0,,4,7,8,0.75,0,2,-2,-6.67,-6.06,1.2,1.4,-0.2,-0.67,-0.31,Matches
Suso,es ESP,"FW,MF",Sevilla,es La Liga,25,1993,17,785,46,23.0,8.7,8,68,9,27,0,1.88,16,10,+6,+0.69,+0.21,12.6,9.6,+3.0,+0.34,-0.06,Matches
Suso,es ESP,"FW,MF",Milan,it Serie A,25,1993,16,"1,359",85,41.9,15.1,15,88,1,34,4,1.31,13,21,-8,-0.53,-1.44,19.5,21.7,-2.3,-0.15,-0.78,Matches
Bosko Sutalo,hr CRO,DF,Atalanta,it Serie A,19,2000,6,235,39,7.3,2.6,2,86,4,16,5,2.67,7,2,+5,+1.91,+0.54,5.9,2.2,+3.7,+1.40,+0.21,Matches
Markus Suttner,at AUT,"DF,MF",Düsseldorf,de Bundesliga,32,1987,21,"1,339",64,43.8,14.9,16,77,5,20,3,1.00,17,24,-7,-0.47,+0.78,15.9,23.7,-7.9,-0.53,+0.22,Matches
Mattias Svanberg,se SWE,MF,Bologna,it Serie A,20,1999,23,952,41,29.4,10.6,11,71,12,15,11,1.26,15,26,-11,-1.04,-1.12,13.1,21.0,-7.9,-0.75,-1.06,Matches
Sanasi Sy,fr FRA,DF,Amiens,fr Ligue 1,20,1999,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Seydou Sy,sn SEN,GK,Monaco,fr Ligue 1,23,1995,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Issiaga Sylla,gn GUI,DF,Toulouse,fr Ligue 1,25,1994,28,"2,520",90,100.0,28.0,28,90,0,,0,0.46,22,58,-36,-1.29,,31.1,43.8,-12.7,-0.45,,Matches
Moussa Sylla,fr FRA,FW,Monaco,fr Ligue 1,19,1999,1,10,10,0.4,0.1,0,,1,9,0,0.00,0,0,0,0.00,0.00,0.1,0.1,0.0,-0.21,-0.52,Matches
Eddy Sylvestre,fr FRA,MF,Nice,fr Ligue 1,19,1999,1,37,37,1.5,0.4,0,,1,36,2,3.00,1,1,0,0.00,-0.11,0.4,0.5,-0.1,-0.32,-0.05,Matches
Ádám Szalai,hu HUN,FW,Hoffenheim,de Bundesliga,31,1987,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
Ádám Szalai,hu HUN,FW,Mainz 05,de Bundesliga,31,1987,27,"1,147",42,37.5,12.7,12,76,15,16,4,1.22,15,20,-5,-0.39,+0.36,19.7,18.2,+1.5,+0.12,+0.80,Matches
Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,29,1990,28,"2,520",90,77.8,28.0,28,90,0,,6,2.18,56,30,+26,+0.93,-0.45,50.2,33.2,+17.0,+0.61,-0.65,Matches
Andrea Tabanelli,it ITA,MF,Lecce,it Serie A,29,1990,13,964,74,29.8,10.7,11,81,2,39,2,1.15,15,17,-2,-0.19,+1.04,14.2,21.2,-6.9,-0.64,+0.28,Matches
Tachi,es ESP,DF,Alavés,es La Liga,21,1997,6,238,40,7.0,2.6,2,90,4,15,14,1.33,3,4,-1,-0.38,+0.30,2.8,4.4,-1.6,-0.61,-0.21,Matches
Panagiotis Tachtsidis,gr GRE,MF,Lecce,it Serie A,28,1991,26,"1,935",74,59.7,21.5,23,81,3,26,5,0.54,21,50,-29,-1.35,-1.07,28.4,46.0,-17.6,-0.82,+0.05,Matches
Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,23,1996,25,"2,092",84,68.4,23.2,22,90,3,41,6,2.00,41,27,+14,+0.60,+0.32,40.9,30.0,+10.9,+0.47,+0.45,Matches
Flavien Tait,fr FRA,"MF,FW",Rennes,fr Ligue 1,26,1993,17,885,52,35.1,9.8,9,82,8,18,5,1.65,14,9,+5,+0.51,+0.01,14.8,11.6,+3.1,+0.32,+0.09,Matches
Mahdi Talal,fr FRA,FW,Amiens,fr Ligue 1,21,1997,2,20,10,0.8,0.2,0,,2,9,5,2.00,0,0,0,0.00,+0.68,0.0,0.0,0.0,-0.18,+0.16,Matches
Adrien Tameze,cm CMR,MF,Nice,fr Ligue 1,25,1994,8,519,65,20.6,5.8,6,81,2,18,5,1.25,8,11,-3,-0.52,-0.79,7.6,8.2,-0.6,-0.10,+0.21,Matches
Adrien Tameze,cm CMR,MF,Atalanta,it Serie A,25,1994,6,205,34,6.3,2.3,2,90,4,6,9,2.67,10,3,+7,+3.07,+1.77,6.9,2.4,+4.4,+1.95,+0.80,Matches
Japhet Tanganga,eng ENG,DF,Tottenham,eng Premier League,20,1999,6,525,88,15.4,5.8,6,88,0,,9,0.83,6,7,-1,-0.17,-0.64,6.8,13.3,-6.4,-1.10,-1.09,Matches
Adil Taoui,fr FRA,MF,Toulouse,fr Ligue 1,17,2001,2,25,13,1.0,0.3,0,,2,12,2,0.00,0,0,0,0.00,+1.30,0.2,0.1,+0.2,+1.27,+1.73,Matches
Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,20,1999,14,"1,058",76,34.6,11.8,12,87,2,6,0,2.07,28,20,+8,+0.68,+0.28,18.7,16.6,+2.1,+0.18,-0.23,Matches
Matt Targett,eng ENG,DF,Aston Villa,eng Premier League,23,1995,28,"2,291",82,67.0,25.5,27,83,1,54,2,1.00,30,40,-10,-0.39,+0.88,30.8,46.7,-15.8,-0.62,+0.20,Matches
Rodrigo Tarín,es ESP,DF,Leganés,es La Liga,23,1996,14,951,68,27.8,10.6,12,78,2,8,8,1.07,9,17,-8,-0.76,-0.28,10.0,13.2,-3.1,-0.30,-0.32,Matches
James Tarkowski,eng ENG,DF,Burnley,eng Premier League,26,1992,38,"3,420",90,100.0,38.0,38,90,0,,0,1.42,43,50,-7,-0.18,,44.3,48.5,-4.3,-0.11,,Matches
Ciprian Tătărușanu,ro ROU,GK,Lyon,fr Ligue 1,33,1986,2,180,90,7.1,2.0,2,90,0,,23,1.50,4,2,+2,+1.00,+0.50,2.5,2.0,+0.5,+0.24,-0.15,Matches
Júlio Tavares,cv CPV,FW,Dijon,fr Ligue 1,30,1988,23,"1,997",87,79.2,22.2,22,89,1,33,0,1.22,24,29,-5,-0.23,+0.64,25.5,36.7,-11.3,-0.51,-0.09,Matches
Nikola Tavares,hr CRO,DF,Crystal Palace,eng Premier League,20,1999,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
Charlie Taylor,eng ENG,DF,Burnley,eng Premier League,25,1993,24,"1,945",81,56.9,21.6,22,85,2,41,6,1.63,24,18,+6,+0.28,+1.07,24.5,30.3,-5.8,-0.27,-0.36,Matches
Neil Taylor,wal WAL,DF,Aston Villa,eng Premier League,30,1989,14,"1,091",78,31.9,12.1,11,85,3,52,13,0.79,11,25,-14,-1.15,-0.69,10.1,18.9,-8.9,-0.73,-0.06,Matches
Aurélien Tchouaméni,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,15,"1,110",74,44.0,12.3,13,83,2,17,5,1.60,21,13,+8,+0.65,+0.78,12.0,15.8,-3.8,-0.31,-0.31,Matches
Aurélien Tchouaméni,fr FRA,MF,Monaco,fr Ligue 1,19,2000,3,65,22,2.6,0.7,0,,3,21,3,1.33,0,1,-1,-1.38,-1.42,1.5,1.1,+0.4,+0.52,+0.23,Matches
Georg Teigl,at AUT,"DF,MF",Augsburg,de Bundesliga,28,1991,3,111,37,3.6,1.2,1,90,2,11,7,1.00,1,6,-5,-4.05,-3.66,0.9,2.9,-1.9,-1.56,-1.28,Matches
Álvaro Tejero,es ESP,DF,Eibar,es La Liga,23,1996,18,"1,447",80,42.3,16.1,16,85,2,45,14,1.17,17,19,-2,-0.12,+0.56,18.5,22.8,-4.3,-0.27,-0.04,Matches
Bernard Tekpetey,gh GHA,"FW,MF",Düsseldorf,de Bundesliga,21,1997,9,448,50,14.6,5.0,5,68,4,27,12,0.56,3,10,-7,-1.41,-0.58,5.2,5.4,-0.1,-0.03,+0.73,Matches
Nathan Tella,eng ENG,FW,Southampton,eng Premier League,20,1999,1,3,3,0.1,0.0,0,,1,3,2,3.00,0,0,0,0.00,+0.24,0.1,0.0,+0.1,+3.67,+3.65,Matches
Cristian Tello,es ESP,"MF,FW",Betis,es La Liga,27,1991,27,787,29,23.0,8.7,5,73,22,19,6,0.70,13,18,-5,-0.57,-0.33,11.5,13.9,-2.4,-0.28,-0.28,Matches
Lino Tempelmann,de GER,MF,Freiburg,de Bundesliga,20,1999,1,33,33,1.1,0.4,1,33,0,,16,3.00,0,0,0,0.00,-0.03,0.1,0.7,-0.6,-1.72,-1.16,Matches
Arnau Tenas,es ESP,GK,Barcelona,es La Liga,18,2001,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
Łukasz Teodorczyk,pl POL,FW,Udinese,it Serie A,28,1991,14,222,16,6.9,2.5,1,70,13,12,18,1.07,4,4,0,0.00,+0.42,4.5,4.3,+0.1,+0.05,+0.39,Matches
Hidde ter Avest,nl NED,DF,Udinese,it Serie A,22,1997,18,588,33,18.1,6.5,5,71,13,18,12,1.22,9,16,-7,-1.07,-0.83,8.4,10.6,-2.2,-0.34,-0.03,Matches
Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,27,1992,36,"3,240",90,94.7,36.0,36,90,0,,1,2.17,79,36,+43,+1.19,-1.31,62.0,35.6,+26.4,+0.73,-1.13,Matches
Simon Terodde,de GER,"FW,MF",Köln,de Bundesliga,31,1988,23,813,35,26.6,9.0,7,82,16,15,6,1.09,11,16,-5,-0.55,-0.03,13.5,13.4,+0.1,+0.01,+0.21,Matches
Filippo Terracciano,it ITA,MF,Hellas Verona,it Serie A,16,2003,0,,,,,0,,0,,6,,,,,,,,,,,,Matches
Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,29,1990,5,450,90,13.9,5.0,5,90,0,,31,2.00,8,4,+4,+0.80,+1.03,8.6,7.6,+1.0,+0.21,+0.16,Matches
Martin Terrier,fr FRA,"FW,MF",Lyon,fr Ligue 1,22,1997,23,"1,198",52,47.5,13.3,13,77,10,20,3,1.35,16,12,+4,+0.30,-0.45,16.8,12.0,+4.8,+0.36,-0.03,Matches
Aleksa Terzić,rs SRB,DF,Fiorentina,it Serie A,19,1999,0,,,,,0,,0,,29,,,,,,,,,,,,Matches
Kenny Tete,nl NED,DF,Lyon,fr Ligue 1,23,1995,18,"1,072",60,42.5,11.9,9,86,9,33,5,1.06,15,14,+1,+0.08,-0.79,14.6,10.5,+4.1,+0.35,-0.06,Matches
Alexander Tettey,no NOR,"MF,DF",Norwich City,eng Premier League,33,1986,30,"2,338",78,68.4,26.0,28,82,2,25,3,0.67,17,46,-29,-1.12,+0.55,24.3,40.8,-16.5,-0.64,-0.09,Matches
Florian Thauvin,fr FRA,FW,Marseille,fr Ligue 1,26,1993,2,22,11,0.9,0.2,0,,2,10,0,2.00,0,2,-2,-8.18,-8.69,0.4,2.0,-1.6,-6.70,-6.89,Matches
Demba Thiam,sn SEN,GK,SPAL,it Serie A,21,1998,1,90,90,2.8,1.0,1,90,0,,35,1.00,1,1,0,0.00,+1.29,0.4,1.9,-1.5,-1.51,-0.85,Matches
Malick Thiaw,fi FIN,DF,Schalke 04,de Bundesliga,17,2001,4,76,19,2.5,0.8,0,,4,19,5,0.25,1,1,0,0.00,+0.60,0.9,1.3,-0.4,-0.44,-0.01,Matches
Niclas Thiede,de GER,GK,Freiburg,de Bundesliga,20,1999,1,69,69,2.3,0.8,0,,1,69,16,0.00,0,1,-1,-1.30,-1.36,0.4,1.0,-0.6,-0.78,-0.21,Matches
Jan Thielmann,de GER,"FW,MF",Köln,de Bundesliga,17,2002,12,554,46,18.1,6.2,7,63,5,23,7,1.42,9,10,-1,-0.16,+0.45,7.5,9.6,-2.1,-0.34,-0.23,Matches
Sada Thioub,sn SEN,"MF,FW",Angers,fr Ligue 1,24,1995,23,"1,508",66,59.8,16.8,15,86,8,27,1,1.30,17,17,0,0.00,+0.44,16.4,20.0,-3.6,-0.22,-0.45,Matches
Bobby Thomas,,DF,Burnley,eng Premier League,,,0,,,,,0,,0,,4,,,,,,,,,,,,Matches
Jordan Thomas,eng ENG,FW,Norwich City,eng Premier League,,,1,1,1,0.0,0.0,0,,1,1,3,0.00,0,0,0,0.00,+1.29,0.0,0.1,-0.1,-9.10,-8.49,Matches
Luke Thomas,eng ENG,DF,Leicester City,eng Premier League,,,3,267,89,7.8,3.0,3,89,0,,0,1.00,2,4,-2,-0.67,-1.47,5.3,1.9,+3.4,+1.14,+0.79,Matches
Romain Thomas,fr FRA,DF,Angers,fr Ligue 1,31,1988,27,"2,340",87,92.9,26.0,27,87,0,,1,1.44,27,31,-4,-0.15,+0.35,25.6,29.5,-3.9,-0.15,-1.59,Matches
Adrien Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,25,1993,25,"2,072",83,85.3,23.0,24,86,1,18,0,1.52,28,25,+3,+0.13,+0.88,29.7,25.2,+4.5,+0.20,+0.26,Matches
Erik Thommy,de GER,"DF,FW",Düsseldorf,de Bundesliga,24,1994,34,"2,259",66,73.8,25.1,25,81,9,25,0,0.88,31,46,-15,-0.60,+1.20,26.6,41.7,-15.1,-0.60,+0.18,Matches
Max Thompson,eng ENG,FW,Burnley,eng Premier League,17,2002,1,3,3,0.1,0.0,0,,1,3,8,0.00,0,0,0,0.00,+0.18,0.0,0.0,0.0,0.00,+0.11,Matches
Morten Thorsby,no NOR,"MF,DF",Sampdoria,it Serie A,23,1996,23,"1,846",80,57.0,20.5,21,85,2,27,8,1.39,30,35,-5,-0.24,+0.34,27.7,27.3,+0.3,+0.02,+0.23,Matches
Marcus Thuram,fr FRA,FW,M'gladbach,de Bundesliga,21,1997,31,"2,202",71,72.0,24.5,28,76,3,21,0,1.81,43,26,+17,+0.69,-0.25,45.7,32.1,+13.7,+0.56,-0.59,Matches
Khéphren Thuram-Ulie,fr FRA,MF,Nice,fr Ligue 1,18,2001,14,590,42,23.4,6.6,7,75,7,9,6,1.64,9,7,+2,+0.31,+0.26,7.7,9.7,-1.9,-0.30,-0.04,Matches
Youri Tielemans,be BEL,MF,Leicester City,eng Premier League,22,1997,37,"2,828",76,82.7,31.4,32,86,5,17,1,1.59,57,35,+22,+0.70,+0.09,51.2,37.7,+13.5,+0.43,+0.10,Matches
Kieran Tierney,sco SCO,DF,Arsenal,eng Premier League,22,1997,15,989,66,28.9,11.0,12,78,3,18,4,1.47,18,16,+2,+0.18,-0.04,14.2,20.3,-6.1,-0.56,-0.51,Matches
Cheick Timite,ci CIV,"MF,FW",Amiens,fr Ligue 1,21,1997,3,115,38,4.6,1.3,2,54,1,8,1,0.00,0,1,-1,-0.78,-0.11,0.6,2.0,-1.4,-1.09,-0.78,Matches
David Timor,es ESP,"MF,DF",Getafe,es La Liga,29,1989,22,943,43,27.6,10.5,10,83,12,9,11,1.68,10,11,-1,-0.10,-0.35,11.8,12.8,-1.0,-0.10,-0.10,Matches
Marcel Tisserand,cd COD,DF,Wolfsburg,de Bundesliga,26,1993,15,"1,204",80,39.3,13.4,14,86,1,2,14,1.13,9,16,-7,-0.52,-0.96,18.9,14.3,+4.7,+0.35,+0.17,Matches
Jean-Clair Todibo,fr FRA,DF,Barcelona,es La Liga,19,1999,2,77,39,2.3,0.9,1,72,1,5,7,3.00,3,0,+3,+3.51,+2.30,1.4,1.3,+0.1,+0.06,-0.75,Matches
Jean-Clair Todibo,fr FRA,DF,Schalke 04,de Bundesliga,19,1999,8,365,46,11.9,4.1,4,61,4,31,3,0.50,2,7,-5,-1.23,-0.73,3.4,4.4,-0.9,-0.23,+0.22,Matches
