player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_standard_goals,header_standard_pens_made,header_standard_pens_att,header_standard_shots_total,header_standard_shots_on_target,header_standard_shots_free_kicks,header_standard_shots_on_target_pct,header_standard_shots_total_per90,header_standard_shots_on_target_per90,header_standard_goals_per_shot,header_standard_goals_per_shot_on_target,header_expected_xg,header_expected_npxg,header_expected_npxg_per_shot,header_expected_xg_net,header_expected_npxg_net,matches
Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,1,0,0,12,4,0,33.3,1.47,0.49,0.08,0.25,1.1,1.1,0.09,-0.1,-0.1,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,4,0,0,44,13,12,29.5,1.25,0.37,0.09,0.31,2.8,2.8,0.06,+1.2,+1.2,Matches
Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,6,0,0,58,21,11,36.2,3.34,1.21,0.10,0.29,5.7,5.7,0.10,+0.3,+0.3,Matches
Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Allan,br BRA,MF,Napoli,it Serie A,28,1991,13.9,2,0,0,12,7,0,58.3,0.86,0.50,0.17,0.29,0.7,0.7,0.06,+1.3,+1.3,Matches
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,8,1,1,39,18,0,46.2,1.90,0.88,0.18,0.39,7.1,6.3,0.16,+0.9,+0.7,Matches
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,4,0,0,55,17,0,30.9,1.64,0.51,0.07,0.24,6.7,6.7,0.12,-2.7,-2.7,Matches
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,4,0,0,30,8,1,26.7,1.89,0.50,0.13,0.50,2.1,2.1,0.07,+1.9,+1.9,Matches
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,0,0,0,8,0,0,0.0,0.52,0.00,0.00,,0.2,0.2,0.03,-0.2,-0.2,Matches
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,0,0,0,4,0,0,0.0,0.31,0.00,0.00,,0.3,0.3,0.06,-0.3,-0.3,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,0,0,0,12,2,0,16.7,0.38,0.06,0.00,0.00,1.2,1.2,0.10,-1.2,-1.2,Matches
Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,28.2,0,0,0,22,1,9,4.5,0.78,0.04,0.00,0.00,1.0,1.0,0.04,-1.0,-1.0,Matches
Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,0,0,0,13,3,0,23.1,0.98,0.23,0.00,0.00,1.1,1.1,0.09,-1.1,-1.1,Matches
Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,0,0,0,6,1,0,16.7,0.71,0.12,0.00,0.00,1.0,1.0,0.17,-1.0,-1.0,Matches
Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,0,0,0,4,0,0,0.0,0.47,0.00,0.00,,0.5,0.5,0.12,-0.5,-0.5,Matches
