player,nationality,position,squad,comp_level,age,birth_year,games,header_playing_games_starts,header_playing_minutes,header_playing_goals,header_performance_assists,header_performance_pens_made,header_performance_pens_att,header_performance_cards_yellow,header_performance_cards_red,header_performance_goals_per90,header_per90_assists_per90,header_per90_goals_assists_per90,header_per90_goals_pens_per90,header_per90_goals_assists_pens_per90,header_per90_xg,header_expected_npxg,header_expected_xa,header_expected_xg_per90,header_per90_xa_per90,header_per90_xg_xa_per90,header_per90_npxg_per90,header_per90_npxg_xa_per90,header_per90_matches
Mauro Icardi,ar ARG,FW,Paris S-G,fr Ligue 1,26,1993,20,14,"1,267",12,2,0,0,0,0,0.85,0.14,0.99,0.85,0.99,9.9,9.9,2.9,0.71,0.20,0.91,0.71,0.91,Matches
Adam Idah,ie IRL,"FW,MF",Norwich City,eng Premier League,18,2001,12,1,228,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,0.43,0.02,0.45,0.43,0.45,Matches
Odion Ighalo,ng NGA,FW,Manchester Utd,eng Premier League,30,1989,11,0,101,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.2,1.42,0.14,1.56,1.42,1.56,Matches
Borja Iglesias,es ESP,FW,Betis,es La Liga,26,1993,35,21,"1,922",3,2,0,0,3,1,0.14,0.09,0.23,0.14,0.23,3.2,3.2,2.1,0.15,0.10,0.25,0.15,0.25,Matches
Igor,br BRA,DF,SPAL,it Serie A,21,1998,17,15,"1,337",0,1,0,0,7,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,1.0,0.01,0.07,0.08,0.01,0.08,Matches
Igor,br BRA,DF,Fiorentina,it Serie A,21,1998,8,5,521,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Kelechi Iheanacho,ng NGA,FW,Leicester City,eng Premier League,22,1996,20,12,960,5,3,0,0,1,0,0.47,0.28,0.75,0.47,0.75,4.8,4.8,2.4,0.45,0.23,0.68,0.45,0.68,Matches
Luc Ihorst,de GER,FW,Werder Bremen,de Bundesliga,19,2000,1,0,11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jonathan Ikone,fr FRA,"MF,FW",Lille,fr Ligue 1,21,1998,28,26,"2,057",3,6,1,1,6,0,0.13,0.26,0.39,0.09,0.35,4.4,3.6,4.3,0.19,0.19,0.38,0.16,0.35,Matches
Yun Il-lok,kr KOR,"MF,FW",Montpellier,fr Ligue 1,27,1992,5,1,121,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.17,0.52,0.69,0.17,0.69,Matches
Josip Iličić,si SVN,FW,Atalanta,it Serie A,31,1988,26,21,"1,663",15,5,0,0,1,1,0.81,0.27,1.08,0.81,1.08,9.8,9.8,7.0,0.53,0.38,0.91,0.53,0.91,Matches
Asier Illarramendi,es ESP,MF,Real Sociedad,es La Liga,29,1990,3,3,216,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.01,0.10,0.11,0.01,0.11,Matches
Stefan Ilsanker,at AUT,DF,RB Leipzig,de Bundesliga,30,1989,6,5,418,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.15,0.02,0.18,0.15,0.18,Matches
Stefan Ilsanker,at AUT,"DF,MF",Eint Frankfurt,de Bundesliga,30,1989,12,9,838,2,1,0,0,4,0,0.21,0.11,0.32,0.21,0.32,1.0,1.0,0.7,0.11,0.07,0.18,0.11,0.18,Matches
Giannelli Imbula,cd COD,MF,Lecce,it Serie A,26,1992,3,1,130,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ciro Immobile,it ITA,FW,Lazio,it Serie A,29,1990,35,34,"2,990",34,8,14,15,7,0,1.02,0.24,1.26,0.60,0.84,24.8,13.3,6.0,0.75,0.18,0.93,0.40,0.58,Matches
Edmilson Indjai,gw GNB,FW,Saint-Étienne,fr Ligue 1,19,2000,4,0,49,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.14,0.14,0.00,0.14,Matches
Roberto Inglese,it ITA,FW,Parma,it Serie A,27,1991,16,8,737,3,0,0,1,1,0,0.37,0.00,0.37,0.37,0.37,3.9,3.1,0.3,0.48,0.04,0.51,0.38,0.42,Matches
Danny Ings,eng ENG,FW,Southampton,eng Premier League,27,1992,38,32,"2,804",22,2,1,2,3,0,0.71,0.06,0.77,0.67,0.74,16.1,14.6,2.7,0.52,0.09,0.60,0.47,0.55,Matches
Marcus Ingvartsen,dk DEN,"MF,FW",Union Berlin,de Bundesliga,23,1996,28,20,"1,716",5,2,1,1,4,0,0.26,0.10,0.37,0.21,0.31,3.7,3.0,1.2,0.20,0.06,0.26,0.16,0.22,Matches
Lorenzo Insigne,it ITA,"FW,MF",Napoli,it Serie A,28,1991,35,32,"2,637",7,6,4,4,1,0,0.24,0.20,0.44,0.10,0.31,11.8,8.7,7.1,0.40,0.24,0.64,0.30,0.54,Matches
Takashi Inui,jp JPN,"MF,FW",Eibar,es La Liga,31,1988,29,23,"1,960",2,3,0,0,2,0,0.09,0.14,0.23,0.09,0.23,3.8,3.8,1.7,0.17,0.08,0.25,0.17,0.25,Matches
Artur Ioniță,md MDA,MF,Cagliari,it Serie A,28,1990,32,19,"1,729",0,2,0,0,6,0,0.00,0.10,0.10,0.00,0.10,0.9,0.9,0.6,0.05,0.03,0.08,0.05,0.08,Matches
Alexander Isak,se SWE,FW,Real Sociedad,es La Liga,19,1999,37,14,"1,507",9,1,0,0,3,0,0.54,0.06,0.60,0.54,0.60,6.7,6.7,2.4,0.40,0.14,0.54,0.40,0.54,Matches
Isco,es ESP,"FW,MF",Real Madrid,es La Liga,27,1992,23,15,"1,181",1,2,0,0,2,0,0.08,0.15,0.23,0.08,0.23,1.6,1.6,2.5,0.12,0.19,0.31,0.12,0.31,Matches
Nicolas Isimat-Mirin,fr FRA,DF,Toulouse,fr Ligue 1,27,1991,14,14,"1,260",1,0,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.5,0.5,0.1,0.04,0.01,0.04,0.04,0.04,Matches
Jakub Iskra,pl POL,DF,SPAL,it Serie A,16,2002,1,0,33,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Gian-Luca Itter,de GER,"DF,MF",Freiburg,de Bundesliga,20,1999,3,0,35,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Ander Iturraspe,es ESP,MF,Espanyol,es La Liga,30,1989,8,3,242,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alex Iwobi,ng NGA,"MF,FW",Everton,eng Premier League,23,1996,25,19,"1,596",1,0,0,0,0,0,0.06,0.00,0.06,0.06,0.06,2.2,2.2,2.4,0.13,0.13,0.26,0.13,0.26,Matches
Armando Izzo,it ITA,DF,Torino,it Serie A,27,1992,30,29,"2,611",1,0,0,0,7,2,0.03,0.00,0.03,0.03,0.03,1.3,1.3,0.9,0.04,0.03,0.07,0.04,0.07,Matches
Jacobo,es ESP,DF,Celta Vigo,es La Liga,22,1997,2,1,83,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Phil Jagielka,eng ENG,DF,Sheffield Utd,eng Premier League,36,1982,6,2,244,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Filip Jagiełło,pl POL,MF,Genoa,it Serie A,21,1997,9,4,411,0,1,0,0,0,0,0.00,0.22,0.22,0.00,0.22,0.3,0.3,0.7,0.06,0.16,0.22,0.06,0.22,Matches
Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,eng Premier League,25,1993,10,3,311,2,0,0,0,0,0,0.58,0.00,0.58,0.58,0.58,0.5,0.5,0.1,0.14,0.02,0.16,0.14,0.16,Matches
Mato Jajalo,ba BIH,MF,Udinese,it Serie A,31,1988,26,19,"1,649",0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,0.02,0.03,0.05,0.02,0.05,Matches
Ismail Jakobs,de GER,"FW,DF",Köln,de Bundesliga,19,1999,20,20,"1,672",2,2,0,0,4,0,0.11,0.11,0.22,0.11,0.22,2.3,2.3,1.0,0.12,0.06,0.18,0.12,0.18,Matches
Christophe Jallet,fr FRA,DF,Amiens,fr Ligue 1,35,1983,12,10,855,1,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21,0.1,0.1,0.6,0.02,0.06,0.08,0.02,0.08,Matches
Daniel James,wal WAL,FW,Manchester Utd,eng Premier League,21,1997,33,26,"2,287",3,6,0,0,4,0,0.12,0.24,0.35,0.12,0.35,3.3,3.3,4.0,0.13,0.16,0.29,0.13,0.29,Matches
Matty James,eng ENG,MF,Leicester City,eng Premier League,28,1991,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Reece James,eng ENG,DF,Chelsea,eng Premier League,19,1999,24,16,"1,515",0,2,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,3.4,0.05,0.20,0.25,0.05,0.25,Matches
Marko Janković,me MNE,"MF,DF",SPAL,it Serie A,24,1995,6,1,115,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.08,0.17,0.25,0.08,0.25,Matches
Jakub Jankto,cz CZE,MF,Sampdoria,it Serie A,23,1996,28,24,"1,982",2,4,0,0,8,0,0.09,0.18,0.27,0.09,0.27,2.2,2.2,4.4,0.10,0.20,0.30,0.10,0.30,Matches
Daryl Janmaat,nl NED,DF,Watford,eng Premier League,30,1989,8,7,607,0,1,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,0.4,0.04,0.06,0.11,0.04,0.11,Matches
Laurent Jans,lu LUX,DF,Paderborn 07,de Bundesliga,26,1992,22,19,"1,571",0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.9,0.01,0.05,0.06,0.01,0.06,Matches
Tony Jantschke,de GER,DF,M'gladbach,de Bundesliga,29,1990,17,11,"1,012",0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.2,0.06,0.10,0.16,0.06,0.16,Matches
Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,es La Liga,24,1995,24,13,"1,167",3,3,0,0,3,0,0.23,0.23,0.46,0.23,0.46,1.4,1.4,2.3,0.11,0.18,0.29,0.11,0.29,Matches
Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,34,1984,29,29,"2,547",0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.01,0.01,0.00,0.01,Matches
Jason,es ESP,MF,Getafe,es La Liga,25,1994,20,14,"1,175",1,4,0,0,5,0,0.08,0.31,0.38,0.08,0.38,1.6,1.6,2.3,0.12,0.17,0.30,0.12,0.30,Matches
Dennis Jastrzembski,de GER,"DF,MF",Paderborn 07,de Bundesliga,19,2000,6,1,177,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.08,0.10,0.18,0.08,0.18,Matches
Corentin Jean,fr FRA,DF,Toulouse,fr Ligue 1,24,1995,1,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Benjamin Jeannot,fr FRA,MF,Dijon,fr Ligue 1,27,1992,2,2,167,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.16,0.00,0.16,0.16,0.16,Matches
Tin Jedvaj,hr CRO,DF,Augsburg,de Bundesliga,23,1995,31,30,"2,638",2,0,0,0,6,0,0.07,0.00,0.07,0.07,0.07,1.5,1.5,0.3,0.05,0.01,0.06,0.05,0.06,Matches
Jemerson,br BRA,"DF,MF",Monaco,fr Ligue 1,26,1992,13,13,"1,056",0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
Fredrik Jensen,fi FIN,"FW,MF",Augsburg,de Bundesliga,21,1997,10,5,457,1,0,0,0,0,0,0.20,0.00,0.20,0.20,0.20,0.4,0.4,0.1,0.08,0.01,0.09,0.08,0.09,Matches
Jesé,es ESP,FW,Paris S-G,fr Ligue 1,26,1993,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,22,1997,34,21,"2,030",14,7,0,1,3,0,0.62,0.31,0.93,0.62,0.93,18.7,17.9,3.4,0.83,0.15,0.98,0.80,0.95,Matches
Juan Jesus,br BRA,DF,Roma,it Serie A,28,1991,3,1,104,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Raúl Jiménez,mx MEX,FW,Wolves,eng Premier League,28,1991,38,37,"3,236",17,6,4,4,3,0,0.47,0.17,0.64,0.36,0.53,15.2,12.2,5.6,0.42,0.16,0.58,0.34,0.49,Matches
Joaquín,es ESP,"MF,FW",Betis,es La Liga,38,1981,34,25,"2,060",8,3,2,3,4,0,0.35,0.13,0.48,0.26,0.39,5.9,3.6,5.3,0.26,0.23,0.49,0.16,0.39,Matches
Joelinton,br BRA,FW,Newcastle Utd,eng Premier League,22,1996,38,32,"2,683",2,2,0,0,7,0,0.07,0.07,0.13,0.07,0.13,5.0,5.0,2.5,0.17,0.08,0.25,0.17,0.25,Matches
Ben Johnson,eng ENG,DF,West Ham,eng Premier League,19,2000,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.09,0.09,0.00,0.09,Matches
Fabian Johnson,us USA,"MF,DF",M'gladbach,de Bundesliga,31,1987,6,3,271,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.05,0.05,0.00,0.05,Matches
Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,18,2001,6,1,126,1,0,0,0,0,0,0.71,0.00,0.71,0.71,0.71,0.9,0.9,0.0,0.66,0.00,0.66,0.66,0.66,Matches
Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,27,1992,2,2,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.15,0.00,0.15,0.15,0.15,Matches
Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,22,1997,29,24,"2,115",2,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,1.0,1.0,2.4,0.04,0.10,0.15,0.04,0.15,Matches
Luuk de Jong,nl NED,FW,Sevilla,es La Liga,28,1990,35,24,"2,059",6,1,0,0,2,0,0.26,0.04,0.31,0.26,0.31,7.7,7.7,2.7,0.34,0.12,0.46,0.34,0.46,Matches
Jony,es ESP,DF,Lazio,it Serie A,28,1991,23,13,"1,122",0,1,0,0,4,0,0.00,0.08,0.08,0.00,0.08,0.3,0.3,1.3,0.02,0.10,0.13,0.02,0.13,Matches
Joan Jordán,es ESP,MF,Sevilla,es La Liga,25,1994,34,27,"2,254",2,2,0,0,7,0,0.08,0.08,0.16,0.08,0.16,1.7,1.7,3.4,0.07,0.14,0.20,0.07,0.20,Matches
Bruno Jordão,pt POR,FW,Wolves,eng Premier League,20,1998,1,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jorginho,it ITA,MF,Chelsea,eng Premier League,27,1991,31,27,"2,379",4,2,3,3,10,0,0.15,0.08,0.23,0.04,0.11,3.5,1.2,2.3,0.13,0.09,0.22,0.05,0.13,Matches
Jesse Joronen,fi FIN,GK,Brescia,it Serie A,26,1993,29,29,"2,610",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Willian José,br BRA,FW,Real Sociedad,es La Liga,27,1991,37,24,"2,011",11,1,0,0,4,0,0.49,0.04,0.54,0.49,0.54,10.6,10.6,1.8,0.47,0.08,0.56,0.47,0.56,Matches
Joselu,es ESP,FW,Alavés,es La Liga,29,1990,36,31,"2,782",11,2,1,1,6,0,0.36,0.06,0.42,0.32,0.39,10.7,10.1,2.4,0.35,0.08,0.42,0.33,0.40,Matches
Jota,es ESP,"FW,MF",Aston Villa,eng Premier League,28,1991,10,4,335,0,1,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.3,0.3,0.6,0.07,0.17,0.24,0.07,0.24,Matches
Diogo Jota,pt POR,"FW,MF",Wolves,eng Premier League,22,1996,34,27,"2,284",7,1,0,0,4,0,0.28,0.04,0.32,0.28,0.32,9.7,9.7,3.9,0.38,0.15,0.54,0.38,0.54,Matches
Vukašin Jovanović,rs SRB,DF,Bordeaux,fr Ligue 1,23,1996,9,5,573,0,1,0,0,4,0,0.00,0.16,0.16,0.00,0.16,0.0,0.0,0.5,0.00,0.08,0.08,0.00,0.08,Matches
Dejan Joveljić,rs SRB,FW,Eint Frankfurt,de Bundesliga,19,1999,4,2,150,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Stevan Jovetić,me MNE,"FW,MF",Monaco,fr Ligue 1,29,1989,9,5,473,2,0,0,0,2,1,0.38,0.00,0.38,0.38,0.38,1.8,1.8,0.6,0.34,0.12,0.45,0.34,0.45,Matches
Luka Jović,rs SRB,FW,Real Madrid,es La Liga,21,1997,17,4,430,2,1,0,0,2,0,0.42,0.21,0.63,0.42,0.63,2.3,2.3,0.6,0.48,0.13,0.61,0.48,0.61,Matches
Juanmi,es ESP,"FW,MF",Betis,es La Liga,26,1993,8,2,264,1,0,0,0,2,1,0.34,0.00,0.34,0.34,0.34,1.4,1.4,0.1,0.48,0.04,0.52,0.48,0.52,Matches
David Juncà,es ESP,DF,Celta Vigo,es La Liga,25,1993,3,3,258,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Hamed Junior Traorè,ci CIV,"MF,FW",Sassuolo,it Serie A,19,2000,29,18,"1,450",3,1,0,0,3,0,0.19,0.06,0.25,0.19,0.25,4.1,4.1,1.5,0.25,0.10,0.35,0.25,0.35,Matches
Lago Junior,ci CIV,"MF,FW",Mallorca,es La Liga,28,1990,35,24,"2,188",4,0,3,3,3,0,0.16,0.00,0.16,0.04,0.04,5.2,3.0,1.3,0.22,0.05,0.27,0.12,0.17,Matches
Vinicius Júnior,br BRA,"FW,MF",Real Madrid,es La Liga,19,2000,29,12,"1,364",3,1,0,0,4,0,0.20,0.07,0.26,0.20,0.26,4.3,4.3,2.8,0.29,0.18,0.47,0.29,0.47,Matches
James Justin,eng ENG,DF,Leicester City,eng Premier League,21,1998,13,11,"1,012",0,1,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,1.2,0.03,0.11,0.14,0.03,0.14,Matches
Musa Juwara,gm GAM,"FW,MF",Bologna,it Serie A,17,2001,5,0,61,1,0,0,0,1,0,1.48,0.00,1.48,1.48,1.48,0.2,0.2,0.0,0.27,0.04,0.31,0.27,0.31,Matches
Mathias Jørgensen,dk DEN,DF,Düsseldorf,de Bundesliga,29,1990,9,5,498,0,1,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.0,0.0,0.2,0.00,0.04,0.04,0.00,0.04,Matches
Ozan Kabak,tr TUR,DF,Schalke 04,de Bundesliga,19,2000,26,21,"1,777",3,1,0,0,4,0,0.15,0.05,0.20,0.15,0.20,1.5,1.5,0.1,0.08,0.00,0.08,0.08,0.08,Matches
Christian Kabasele,be BEL,DF,Watford,eng Premier League,28,1991,27,26,"2,250",0,2,0,0,3,2,0.00,0.08,0.08,0.00,0.08,1.1,1.1,0.5,0.05,0.02,0.07,0.05,0.07,Matches
Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,25,1994,27,16,"1,468",1,3,0,0,5,0,0.06,0.18,0.25,0.06,0.25,1.9,1.9,4.7,0.11,0.29,0.40,0.11,0.40,Matches
Pavel Kadeřábek,cz CZE,"DF,MF",Hoffenheim,de Bundesliga,27,1992,30,28,"2,474",2,7,0,0,2,0,0.07,0.25,0.33,0.07,0.33,2.1,2.1,3.6,0.08,0.13,0.21,0.08,0.21,Matches
Florian Kainz,at AUT,"FW,MF",Köln,de Bundesliga,26,1992,28,16,"1,561",5,6,1,1,5,0,0.29,0.35,0.63,0.23,0.58,3.3,2.5,7.2,0.19,0.41,0.60,0.15,0.56,Matches
Gaël Kakuta,cd COD,"MF,FW",Amiens,fr Ligue 1,28,1991,24,23,"2,001",2,5,0,0,4,0,0.09,0.22,0.31,0.09,0.31,3.3,3.3,2.4,0.15,0.11,0.25,0.15,0.25,Matches
Lovre Kalinić,hr CRO,GK,Toulouse,fr Ligue 1,29,1990,4,4,305,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Nikola Kalinić,hr CRO,FW,Roma,it Serie A,31,1988,14,5,481,4,1,0,0,1,0,0.75,0.19,0.94,0.75,0.94,4.5,4.5,1.1,0.84,0.20,1.04,0.84,1.04,Matches
Salomon Kalou,ci CIV,"FW,MF",Hertha BSC,de Bundesliga,33,1985,5,1,146,1,0,0,0,0,0,0.62,0.00,0.62,0.62,0.62,1.2,1.2,0.2,0.76,0.14,0.90,0.76,0.90,Matches
Samuel Kalu,ng NGA,"FW,DF",Bordeaux,fr Ligue 1,21,1997,20,15,"1,357",1,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,2.4,2.4,1.8,0.16,0.12,0.27,0.16,0.27,Matches
Daichi Kamada,jp JPN,"MF,FW",Eint Frankfurt,de Bundesliga,22,1996,28,22,"1,969",2,4,0,0,5,0,0.09,0.18,0.27,0.09,0.27,5.5,5.5,3.2,0.25,0.15,0.40,0.25,0.40,Matches
François Kamano,gn GUI,"DF,MF",Bordeaux,fr Ligue 1,23,1996,11,7,648,1,0,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.9,0.9,0.4,0.12,0.05,0.17,0.12,0.17,Matches
Boubacar Kamara,fr FRA,"DF,MF",Marseille,fr Ligue 1,19,1999,24,24,"2,139",1,2,0,0,7,1,0.04,0.08,0.13,0.04,0.13,0.5,0.5,0.4,0.02,0.02,0.04,0.02,0.04,Matches
Hassane Kamara,gm GAM,"DF,FW",Reims,fr Ligue 1,24,1994,23,18,"1,709",2,0,0,0,5,0,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.5,0.07,0.03,0.10,0.07,0.10,Matches
Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,28,1990,11,8,675,2,2,0,0,1,0,0.27,0.27,0.53,0.27,0.53,0.5,0.5,2.7,0.07,0.35,0.43,0.07,0.43,Matches
Harry Kane,eng ENG,FW,Tottenham,eng Premier League,26,1993,29,29,"2,587",18,2,2,2,4,0,0.63,0.07,0.70,0.56,0.63,10.8,9.3,2.4,0.37,0.08,0.46,0.32,0.41,Matches
Wilfried Kanga,fr FRA,FW,Angers,fr Ligue 1,21,1998,4,0,68,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.17,0.09,0.26,0.17,0.26,Matches
Lee Kangin,kr KOR,"MF,FW",Valencia,es La Liga,18,2001,17,3,454,2,0,0,0,1,2,0.40,0.00,0.40,0.40,0.40,0.7,0.7,0.3,0.13,0.07,0.20,0.13,0.20,Matches
N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,28,1991,22,20,"1,732",3,0,0,0,4,0,0.16,0.00,0.16,0.16,0.16,1.6,1.6,2.0,0.08,0.11,0.19,0.08,0.19,Matches
Stefanos Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,25,1994,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Wilfrid Kaptoum,cm CMR,MF,Betis,es La Liga,23,1996,5,2,194,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Kenan Karaman,tr TUR,FW,Düsseldorf,de Bundesliga,25,1994,20,16,"1,354",6,1,0,0,4,0,0.40,0.07,0.47,0.40,0.47,4.2,4.2,2.0,0.28,0.13,0.41,0.28,0.41,Matches
Yann Karamoh,fr FRA,"FW,MF",Parma,it Serie A,21,1998,13,5,549,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,0.6,0.6,0.9,0.09,0.15,0.24,0.09,0.24,Matches
Mamoudou Karamoko,fr FRA,MF,Wolfsburg,de Bundesliga,20,1999,1,0,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Florian Kastenmeier,de GER,GK,Düsseldorf,de Bundesliga,23,1996,17,17,"1,530",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.03,0.03,0.00,0.03,Matches
Noah Katterbach,de GER,DF,Köln,de Bundesliga,18,2001,18,16,"1,316",0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.01,0.03,0.03,0.01,0.03,Matches
Moise Kean,it ITA,FW,Everton,eng Premier League,19,2000,29,6,852,2,2,0,0,1,0,0.21,0.21,0.42,0.21,0.42,4.4,4.4,0.9,0.46,0.10,0.56,0.46,0.56,Matches
Michael Keane,eng ENG,DF,Everton,eng Premier League,26,1993,31,28,"2,559",2,0,0,0,3,0,0.07,0.00,0.07,0.07,0.07,1.7,1.7,0.6,0.06,0.02,0.08,0.06,0.08,Matches
Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,22,1996,7,5,480,1,0,0,0,0,0,0.19,0.00,0.19,0.19,0.19,0.3,0.3,0.3,0.06,0.06,0.11,0.06,0.11,Matches
Jules Keita,gn GUI,"MF,FW",Dijon,fr Ligue 1,21,1998,3,1,158,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.06,0.22,0.28,0.06,0.28,Matches
Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,24,1995,18,9,815,2,3,0,0,1,0,0.22,0.33,0.55,0.22,0.55,1.6,1.6,2.4,0.18,0.26,0.44,0.18,0.44,Matches
Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,19,2000,3,2,174,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.04,0.07,0.11,0.04,0.11,Matches
Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,20,1998,8,7,639,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.01,0.03,0.03,0.01,0.03,Matches
Martin Kelly,eng ENG,DF,Crystal Palace,eng Premier League,29,1990,19,17,"1,549",0,1,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.9,0.01,0.05,0.06,0.01,0.06,Matches
