player,nationality,position,squad,comp_level,age,birth_year,games,header_playing_games_starts,header_playing_minutes,header_playing_goals,header_performance_assists,header_performance_pens_made,header_performance_pens_att,header_performance_cards_yellow,header_performance_cards_red,header_performance_goals_per90,header_per90_assists_per90,header_per90_goals_assists_per90,header_per90_goals_pens_per90,header_per90_goals_assists_pens_per90,header_per90_xg,header_expected_npxg,header_expected_xa,header_expected_xg_per90,header_per90_xa_per90,header_per90_xg_xa_per90,header_per90_npxg_per90,header_per90_npxg_xa_per90,header_per90_matches
Ariday Cabrera,es ESP,"MF,FW",Mallorca,es La Liga,30,1988,2,0,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.09,0.00,0.09,0.09,0.09,Matches
Leandro Cabrera,uy URU,DF,Getafe,es La Liga,28,1991,18,18,"1,530",2,0,0,0,3,0,0.12,0.00,0.12,0.12,0.12,0.9,0.9,0.3,0.05,0.02,0.07,0.05,0.07,Matches
Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,28,1991,17,17,"1,530",0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.4,0.00,0.02,0.02,0.00,0.02,Matches
Fabrizio Cacciatore,it ITA,DF,Cagliari,it Serie A,32,1986,16,14,"1,153",0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.02,0.04,0.06,0.02,0.06,Matches
Martín Cáceres,uy URU,DF,Fiorentina,it Serie A,32,1987,26,26,"2,266",1,0,0,0,10,1,0.04,0.00,0.04,0.04,0.04,1.9,1.9,0.5,0.07,0.02,0.09,0.07,0.09,Matches
Anthony Caci,fr FRA,DF,Strasbourg,fr Ligue 1,22,1997,8,8,691,1,4,0,0,0,0,0.13,0.52,0.65,0.13,0.65,0.2,0.2,2.0,0.03,0.26,0.28,0.03,0.28,Matches
Jhonder Cádiz,ve VEN,"FW,MF",Dijon,fr Ligue 1,24,1995,17,7,799,2,2,0,0,3,0,0.23,0.23,0.45,0.23,0.45,2.6,2.6,1.2,0.30,0.13,0.43,0.30,0.43,Matches
Mathieu Cafaro,fr FRA,"FW,MF",Reims,fr Ligue 1,22,1997,13,12,924,1,2,1,1,3,1,0.10,0.19,0.29,0.00,0.19,2.8,2.0,1.7,0.27,0.17,0.44,0.20,0.36,Matches
Jonathan Cafu,br BRA,DF,Bordeaux,fr Ligue 1,28,1991,3,2,201,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.04,0.07,0.11,0.04,0.11,Matches
Gary Cahill,eng ENG,DF,Crystal Palace,eng Premier League,33,1985,25,25,"2,167",0,1,0,0,1,0,0.00,0.04,0.04,0.00,0.04,1.4,1.4,0.3,0.06,0.01,0.07,0.06,0.07,Matches
Felipe Caicedo,ec ECU,FW,Lazio,it Serie A,30,1988,30,18,"1,406",9,2,0,1,7,0,0.58,0.13,0.70,0.58,0.70,6.4,5.6,2.9,0.41,0.19,0.59,0.36,0.55,Matches
Arturo Calabresi,it ITA,DF,Amiens,fr Ligue 1,23,1996,21,21,"1,878",1,1,0,0,5,0,0.05,0.05,0.10,0.05,0.10,0.8,0.8,1.0,0.04,0.05,0.09,0.04,0.09,Matches
Davide Calabria,it ITA,DF,Milan,it Serie A,22,1996,23,14,"1,471",1,1,0,0,4,2,0.06,0.06,0.12,0.06,0.12,0.6,0.6,0.5,0.03,0.03,0.07,0.03,0.07,Matches
