player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_performance_cards_yellow,header_performance_cards_red,header_performance_cards_yellow_red,header_performance_fouls,header_performance_fouled,header_performance_offsides,header_performance_crosses,header_performance_interceptions,header_performance_tackles_won,header_performance_pens_won,header_performance_pens_conceded,header_performance_own_goals,header_performance_ball_recoveries,header_aerials_aerials_won,header_aerials_aerials_lost,header_aerials_aerials_won_pct,matches
Darío Benedetto,ar ARG,FW,Marseille,fr Ligue 1,33,1986,23.3,4,0,0,26,29,6,6,3,14,1,0,0,77,45,72,38.5,Matches
László Bénes,sk SVK,MF,M'gladbach,de Bundesliga,21,1997,10.0,3,0,0,14,24,1,60,9,9,0,0,0,86,9,9,50.0,Matches
Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,26,1993,26.0,0,0,0,0,2,0,0,0,0,0,0,0,105,0,0,,Matches
Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,27,1992,21.1,5,0,0,37,7,1,47,27,29,0,0,1,174,35,30,53.8,Matches
Bilal Benkhedim,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,18,2001,1.5,0,0,0,2,3,0,8,1,5,0,0,0,19,0,2,0.0,Matches
Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,21,1997,25.9,14,0,0,48,34,0,33,49,58,0,2,0,352,24,26,48.0,Matches
Ryan Bennett,eng ENG,DF,Wolves,eng Premier League,29,1990,6.7,2,0,0,4,1,0,4,9,3,0,0,0,66,22,11,66.7,Matches
Ryan Bennett,eng ENG,DF,Leicester City,eng Premier League,29,1990,3.7,0,0,0,3,0,0,2,7,2,0,0,0,43,10,11,47.6,Matches
Keanen Bennetts,eng ENG,MF,M'gladbach,de Bundesliga,20,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Yassine Benrahou,fr FRA,"FW,MF",Bordeaux,fr Ligue 1,20,1999,1.9,0,0,0,1,3,1,8,2,4,0,0,0,17,0,6,0.0,Matches
Yassine Benrahou,fr FRA,"MF,FW",Nîmes,fr Ligue 1,20,1999,8.5,1,0,0,9,27,1,65,3,5,0,0,0,61,2,11,15.4,Matches
Ramy Bensebaini,dz ALG,DF,M'gladbach,de Bundesliga,24,1995,16.1,8,1,1,27,24,2,27,37,17,0,1,0,154,42,23,64.6,Matches
Nabil Bentaleb,dz ALG,MF,Newcastle Utd,eng Premier League,24,1994,8.3,2,0,0,19,5,0,0,19,23,0,0,0,109,15,10,60.0,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,22,1997,23.6,9,0,0,52,26,3,50,30,48,1,0,0,215,30,18,62.5,Matches
Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,28,1990,14.0,4,1,0,25,20,12,5,4,5,0,0,0,55,118,101,53.9,Matches
Romario Benzar,ro ROU,DF,Lecce,it Serie A,27,1992,1.1,0,0,0,2,0,0,7,0,2,0,0,0,7,1,1,50.0,Matches
Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,31,1987,34.9,0,0,0,21,15,27,22,9,13,0,0,0,126,28,48,36.8,Matches
Yassine Benzia,dz ALG,MF,Dijon,fr Ligue 1,24,1994,1.9,0,0,0,5,8,0,4,3,2,0,0,0,12,2,4,33.3,Matches
Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,24,1994,25.8,6,1,0,54,61,7,107,31,21,0,0,0,181,20,25,44.4,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,29,1990,31.7,7,0,0,33,49,2,107,32,31,0,2,0,320,49,25,66.2,Matches
Álex Berenguer,es ESP,"MF,FW",Torino,it Serie A,24,1995,18.4,3,0,0,25,36,8,63,13,12,0,0,0,113,17,41,29.3,Matches
Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,27,1992,25.7,9,0,0,33,21,1,45,29,32,0,0,1,241,37,26,58.7,Matches
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,28,1990,6.9,0,0,0,8,4,1,35,7,3,0,0,0,45,9,14,39.1,Matches
Markel Bergara,es ESP,MF,Getafe,es La Liga,33,1986,0.8,2,0,0,3,0,0,2,0,0,0,0,0,11,1,2,33.3,Matches
Sander Berge,no NOR,MF,Sheffield Utd,eng Premier League,21,1998,10.5,0,0,0,18,5,1,23,10,17,0,0,0,94,30,16,65.2,Matches
Steven Bergwijn,nl NED,"FW,MF",Tottenham,eng Premier League,21,1997,7.8,2,0,0,7,10,0,10,3,4,1,0,0,71,6,8,42.9,Matches
Robert Berić,si SVN,"FW,MF",Saint-Étienne,fr Ligue 1,28,1991,4.6,0,0,0,8,5,7,3,4,2,0,0,0,18,5,14,26.3,Matches
Etrit Berisha,al ALB,GK,SPAL,it Serie A,30,1989,26.0,2,0,0,0,5,0,0,0,0,0,0,0,127,0,1,0.0,Matches
Valon Berisha,xk KVX,"MF,FW",Lazio,it Serie A,26,1993,0.4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0.0,Matches
Valon Berisha,xk KVX,"MF,FW",Düsseldorf,de Bundesliga,26,1993,10.5,1,0,0,12,7,1,14,11,15,0,0,0,61,6,14,30.0,Matches
Sergio Bermejo,es ESP,FW,Celta Vigo,es La Liga,21,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Bernard,br BRA,"MF,FW",Everton,eng Premier League,26,1992,14.2,2,0,0,19,10,0,36,16,14,0,0,0,116,1,16,5.9,Matches
Federico Bernardeschi,it ITA,"MF,FW",Juventus,it Serie A,25,1994,15.7,6,0,0,30,21,5,48,13,5,0,0,0,89,6,4,60.0,Matches
Bernardo,br BRA,DF,Brighton,eng Premier League,24,1995,7.5,1,0,0,3,2,4,17,7,16,0,0,0,71,28,9,75.7,Matches
Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,22,1997,24.5,0,0,0,0,5,0,0,0,0,0,0,0,108,0,0,,Matches
Juan Bernat,es ESP,"DF,MF",Paris S-G,fr Ligue 1,26,1993,15.4,5,0,0,18,16,0,24,10,21,1,0,0,118,10,25,28.6,Matches
Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,21,1998,2.2,0,1,0,1,0,0,0,0,1,0,0,0,16,0,0,,Matches
Andrea Bertolacci,it ITA,MF,Sampdoria,it Serie A,28,1991,4.9,3,0,0,8,11,0,2,2,3,0,0,0,50,7,7,50.0,Matches
Ryan Bertrand,eng ENG,DF,Southampton,eng Premier League,29,1989,30.5,3,1,0,27,32,1,117,31,28,0,0,0,274,65,54,54.6,Matches
Muhamed Bešić,ba BIH,MF,Sheffield Utd,eng Premier League,26,1992,2.8,2,0,0,6,2,0,1,2,6,0,0,0,28,5,5,50.0,Matches
Louis Beyer,de GER,DF,M'gladbach,de Bundesliga,19,2000,1.2,1,0,0,2,2,0,1,1,4,0,0,0,5,1,5,16.7,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,29,1990,13.1,0,0,0,7,14,3,3,23,6,0,0,0,116,54,18,75.0,Matches
Pedro Bigas,es ESP,DF,Eibar,es La Liga,28,1990,19.7,2,0,0,9,19,2,10,39,14,0,1,0,250,65,38,63.1,Matches
Lucas Biglia,ar ARG,MF,Milan,it Serie A,33,1986,7.5,4,0,0,21,7,0,3,10,8,0,1,0,74,14,6,70.0,Matches
El Bilal Touré,ml MLI,FW,Reims,fr Ligue 1,17,2001,5.0,2,0,0,6,5,3,2,1,3,1,0,0,12,10,20,33.3,Matches
Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,23,1996,28.1,8,0,0,38,23,2,15,71,46,0,0,0,319,107,66,61.8,Matches
Cristiano Biraghi,it ITA,"DF,MF",Inter,it Serie A,26,1992,16.5,2,0,0,19,22,2,137,12,14,0,0,0,92,3,14,17.6,Matches
Davide Biraschi,it ITA,DF,Genoa,it Serie A,25,1994,21.4,3,1,0,29,24,0,39,35,31,1,0,1,194,39,18,68.4,Matches
Valter Birsa,si SVN,MF,Cagliari,it Serie A,32,1986,4.7,1,0,0,6,2,0,24,4,8,0,0,0,49,2,2,50.0,Matches
Dimitri Bisoli,it ITA,MF,Brescia,it Serie A,25,1994,23.9,6,0,0,37,46,6,64,23,48,0,0,0,212,33,35,48.5,Matches
