player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_tackles_tackles,header_tackles_tackles_won,header_tackles_tackles_def_3rd,header_tackles_tackles_mid_3rd,header_tackles_tackles_att_3rd,header_dribbles_def_dribble_tackles,header_dribbles_def_dribbles_vs,header_dribbles_def_dribble_tackles_pct,header_dribbles_def_dribbled_past,header_pressures_pressures,header_pressures_pressure_regains,header_pressures_pressure_regain_pct,header_pressures_pressures_def_3rd,header_pressures_pressures_mid_3rd,header_pressures_pressures_att_3rd,header_blocks_blocks,header_blocks_blocked_shots,header_blocks_blocked_shots_saves,header_blocks_blocked_passes,interceptions,clearances,errors,matches
Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,de Bundesliga,25,1994,7.5,9,6,2,4,3,1,14,7.1,13,142,37,26.1,29,63,50,8,1,0,7,7,12,0,Matches
Gaëtan Charbonnier,fr FRA,"FW,MF",Brest,fr Ligue 1,30,1988,22.9,38,22,11,12,15,9,33,27.3,24,378,91,24.1,37,177,164,29,6,0,23,6,28,1,Matches
Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,24,1994,9.1,17,8,11,4,2,3,9,33.3,6,81,29,35.8,52,27,2,16,9,0,7,14,69,0,Matches
Charles,br BRA,FW,Eibar,es La Liga,35,1984,14.5,13,6,2,7,4,2,13,15.4,11,228,52,22.8,11,101,116,12,3,0,9,7,7,0,Matches
Xavier Chavalerin,fr FRA,MF,Reims,fr Ligue 1,28,1991,23.9,76,52,29,39,8,24,62,38.7,38,505,150,29.7,164,261,80,39,6,0,33,36,41,0,Matches
Pablo Chavarría,ar ARG,"FW,MF",Mallorca,es La Liga,31,1988,2.3,2,1,1,1,0,0,2,0.0,2,69,10,14.5,18,22,29,3,1,0,2,1,2,0,Matches
Aurélien Chedjou,cm CMR,DF,Amiens,fr Ligue 1,34,1985,21.9,35,27,24,11,0,12,26,46.2,14,183,66,36.1,121,58,4,33,15,0,18,41,183,1,Matches
Pape Cheikh Diop,es ESP,MF,Celta Vigo,es La Liga,21,1997,6.7,12,6,6,4,2,3,14,21.4,11,143,38,26.6,44,72,27,3,2,0,1,5,4,0,Matches
Chema,es ESP,DF,Getafe,es La Liga,27,1992,3.4,2,2,0,2,0,0,0,,0,23,12,52.2,7,15,1,3,0,0,3,5,18,0,Matches
Rayan Cherki,fr FRA,"MF,FW",Lyon,fr Ligue 1,15,2003,1.6,2,2,0,1,1,2,4,50.0,2,29,10,34.5,6,17,6,2,0,0,2,0,0,0,Matches
Denis Cheryshev,ru RUS,"MF,FW",Valencia,es La Liga,28,1990,10.3,12,7,5,3,4,4,22,18.2,18,173,37,21.4,55,84,34,24,1,0,23,7,9,0,Matches
Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,34,1984,2.2,3,2,3,0,0,1,1,100.0,0,18,11,61.1,10,8,0,5,3,0,2,1,10,0,Matches
Federico Chiesa,it ITA,"FW,DF",Fiorentina,it Serie A,21,1997,27.3,48,29,16,22,10,10,47,21.3,37,609,140,23.0,100,268,241,23,0,0,23,5,7,0,Matches
Ben Chilwell,eng ENG,DF,Leicester City,eng Premier League,22,1996,26.4,51,26,33,14,4,19,59,32.2,40,414,116,28.0,193,159,62,58,9,0,49,28,88,0,Matches
Vlad Chiricheș,ro ROU,DF,Sassuolo,it Serie A,29,1989,7.9,19,12,16,3,0,5,11,45.5,6,85,23,27.1,63,21,1,17,7,0,10,10,32,2,Matches
Tahith Chong,nl NED,"FW,MF",Manchester Utd,eng Premier League,19,1999,0.4,0,0,0,0,0,0,0,,0,15,4,26.7,4,3,8,0,0,0,0,0,0,0,Matches
Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,17,2001,13.9,34,21,15,18,1,15,35,42.9,20,287,91,31.7,104,156,27,16,5,0,11,21,17,0,Matches
Hamza Choudhury,eng ENG,MF,Leicester City,eng Premier League,21,1997,9.9,20,13,8,10,2,5,28,17.9,23,192,62,32.3,80,88,24,20,7,0,13,27,18,0,Matches
Mounir Chouiar,fr FRA,"MF,FW",Dijon,fr Ligue 1,20,1999,16.7,38,27,15,15,8,6,41,14.6,35,359,99,27.6,87,189,83,21,2,0,19,14,7,0,Matches
Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,23,1996,19.5,41,20,25,13,3,11,24,45.8,13,156,57,36.5,90,62,4,22,9,0,13,31,104,0,Matches
Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,es La Liga,20,1999,22.4,18,15,8,5,5,7,21,33.3,14,347,97,28.0,75,157,115,29,1,0,28,11,8,1,Matches
Darko Churlinov,mk MKD,FW,Köln,de Bundesliga,19,2000,0.2,0,0,0,0,0,0,1,0.0,1,3,0,0.0,0,2,1,0,0,0,0,1,0,0,Matches
Churripi,es ESP,GK,Valladolid,es La Liga,25,1994,2.7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,1,0,Matches
Luca Cigarini,it ITA,MF,Cagliari,it Serie A,33,1986,17.8,37,26,21,14,2,13,48,27.1,35,254,80,31.5,114,106,34,42,10,0,32,23,40,0,Matches
Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,32,1987,18.1,49,31,18,25,6,11,47,23.4,36,336,113,33.6,124,174,38,23,3,0,20,22,26,2,Matches
Jasper Cillessen,nl NED,GK,Valencia,es La Liga,30,1989,23.3,0,0,0,0,0,0,1,0.0,1,1,1,100.0,1,0,0,0,0,0,0,3,1,0,Matches
Thiago Cionek,pl POL,DF,SPAL,it Serie A,33,1986,24.1,65,33,37,21,7,22,55,40.0,33,378,104,27.5,190,128,60,49,13,0,36,45,106,3,Matches
Ibrahim Cissé,sn SEN,DF,Angers,fr Ligue 1,23,1996,0.7,1,0,0,1,0,0,0,,0,11,3,27.3,4,5,2,2,0,0,2,0,0,0,Matches
Ibrahim Cissé,ci CIV,"DF,FW",Nice,fr Ligue 1,20,1999,0.6,1,1,1,0,0,0,0,,0,2,1,50.0,1,0,1,1,1,0,0,0,6,0,Matches
Andrea Cistana,it ITA,DF,Brescia,it Serie A,22,1997,20.4,35,21,24,9,2,16,24,66.7,8,199,57,28.6,133,58,8,52,37,0,15,34,121,0,Matches
Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,29,1989,13.2,22,12,20,2,0,3,7,42.9,4,122,44,36.1,88,28,6,25,13,0,12,13,98,0,Matches
Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,34,1985,0.4,0,0,0,0,0,0,0,,0,17,5,29.4,2,7,8,0,0,0,0,0,2,0,Matches
Alexis Claude-Maurice,fr FRA,"MF,FW",Nice,fr Ligue 1,21,1998,18.1,30,18,9,13,8,10,33,30.3,23,350,87,24.9,66,149,135,22,4,0,18,11,7,0,Matches
Christian Clemens,de GER,"MF,FW",Köln,de Bundesliga,27,1991,0.2,1,1,0,1,0,0,0,,0,1,1,100.0,0,1,0,1,1,0,0,0,0,0,Matches
Óscar Clemente,es ESP,MF,Atlético Madrid,es La Liga,20,1999,0.0,0,0,0,0,0,0,0,,0,2,0,0.0,0,0,2,1,0,0,1,0,0,0,Matches
Yannis Clementia,fr FRA,GK,Nice,fr Ligue 1,22,1997,2.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Denilho Cleonise,nl NED,FW,Genoa,it Serie A,17,2001,0.5,0,0,0,0,0,0,0,,0,18,4,22.2,7,8,3,0,0,0,0,1,0,0,Matches
Carlos Clerc,es ESP,DF,Levante,es La Liga,27,1992,20.5,37,19,18,17,2,12,25,48.0,13,256,75,29.3,115,108,33,48,10,0,38,24,69,0,Matches
Tom Cleverley,eng ENG,MF,Watford,eng Premier League,29,1989,10.8,27,17,11,14,2,11,45,24.4,34,291,85,29.2,98,144,49,20,4,0,16,9,15,0,Matches
Conor Coady,eng ENG,DF,Wolves,eng Premier League,26,1993,38.0,41,22,34,7,0,19,38,50.0,19,205,69,33.7,151,54,0,37,18,0,19,27,164,0,Matches
Marcus Coco,fr FRA,FW,Nantes,fr Ligue 1,23,1996,0.2,1,1,1,0,0,0,0,,0,2,1,50.0,1,1,0,0,0,0,0,0,0,0,Matches
Renaud Cohade,fr FRA,MF,Metz,fr Ligue 1,34,1984,8.5,30,16,13,14,3,11,37,29.7,26,269,68,25.3,64,149,56,17,4,0,13,8,6,0,Matches
Coke,es ESP,DF,Levante,es La Liga,32,1987,11.0,25,15,15,7,3,9,26,34.6,17,120,37,30.8,64,41,15,16,3,0,13,13,31,0,Matches
Séamus Coleman,ie IRL,DF,Everton,eng Premier League,30,1988,20.4,50,31,30,17,3,22,35,62.9,13,216,78,36.1,113,81,22,43,10,0,33,24,56,1,Matches
Álex Collado,es ESP,DF,Barcelona,es La Liga,20,1999,0.1,0,0,0,0,0,0,0,,0,2,2,100.0,0,0,2,0,0,0,0,0,0,0,Matches
Ebrima Colley,gm GAM,FW,Atalanta,it Serie A,19,2000,0.9,2,1,1,0,1,1,2,50.0,1,15,4,26.7,4,2,9,2,0,0,2,1,0,0,Matches
Omar Colley,gm GAM,DF,Sampdoria,it Serie A,26,1992,29.0,53,34,36,15,2,14,30,46.7,16,250,88,35.2,165,78,7,45,22,1,23,54,203,2,Matches
Jamilu Collins,ng NGA,DF,Paderborn 07,de Bundesliga,24,1994,29.6,78,41,44,29,5,34,64,53.1,30,434,144,33.2,246,150,38,100,20,3,80,73,97,2,Matches
Simone Colombi,it ITA,GK,Parma,it Serie A,28,1991,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Lorenzo Colombo,it ITA,FW,Milan,it Serie A,17,2002,0.1,0,0,0,0,0,0,0,,0,4,1,25.0,0,4,0,0,0,0,0,0,0,0,Matches
Racine Coly,sn SEN,DF,Nice,fr Ligue 1,23,1995,7.2,19,9,11,6,2,8,18,44.4,10,129,48,37.2,72,45,12,9,0,0,9,10,22,0,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,23,1996,16.7,23,15,10,8,5,11,25,44.0,14,288,92,31.9,54,117,117,17,0,0,17,3,4,0,Matches
Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,34,1985,21.6,33,23,22,9,2,16,41,39.0,25,207,65,31.4,107,89,11,29,7,0,22,47,96,0,Matches
Aaron Connolly,ie IRL,FW,Brighton,eng Premier League,19,2000,14.0,12,8,1,5,6,3,12,25.0,9,234,69,29.5,14,94,126,8,1,0,7,0,1,0,Matches
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,32,1987,29.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,4,0,1,Matches
Andrea Conti,it ITA,DF,Milan,it Serie A,25,1994,19.2,53,31,34,15,4,18,62,29.0,44,335,80,23.9,161,144,30,36,7,0,29,43,43,1,Matches
Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,22,1997,15.0,27,16,15,10,2,8,40,20.0,32,375,71,18.9,125,197,53,20,6,0,14,21,15,0,Matches
Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,28,1991,27.0,23,13,16,7,0,9,23,39.1,14,163,54,33.1,111,44,8,47,28,0,19,45,221,1,Matches
Francis Coquelin,fr FRA,MF,Valencia,es La Liga,28,1991,21.2,34,24,20,13,1,11,31,35.5,20,285,79,27.7,145,115,25,30,10,0,20,40,32,0,Matches
Gabriele Corbo,it ITA,DF,Bologna,it Serie A,19,2000,0.4,0,0,0,0,0,0,1,0.0,1,4,1,25.0,2,2,0,2,2,1,0,2,2,0,Matches
Sébastien Corchia,fr FRA,DF,Espanyol,es La Liga,28,1990,3.0,2,0,2,0,0,1,3,33.3,2,17,5,29.4,7,5,5,12,1,0,11,5,6,0,Matches
Iñigo Córdoba,es ESP,FW,Athletic Club,es La Liga,22,1997,16.0,26,14,14,11,1,10,52,19.2,42,399,104,26.1,121,168,110,39,1,0,38,16,11,0,Matches
Jhon Córdoba,co COL,FW,Köln,de Bundesliga,26,1993,22.2,14,11,1,9,4,3,11,27.3,8,445,112,25.2,17,172,256,18,1,0,17,4,19,0,Matches
Sergio Córdova,ve VEN,"FW,MF",Augsburg,de Bundesliga,21,1997,4.1,4,3,0,4,0,1,11,9.1,10,157,24,15.3,15,88,54,3,0,0,3,1,3,0,Matches
Benjamin Corgnet,fr FRA,MF,Strasbourg,fr Ligue 1,32,1987,2.9,4,3,3,0,1,1,4,25.0,3,49,9,18.4,7,29,13,2,0,0,2,4,2,1,Matches
Jack Cork,eng ENG,MF,Burnley,eng Premier League,30,1989,29.0,39,27,10,21,8,11,65,16.9,54,605,172,28.4,146,347,112,53,12,0,41,29,57,0,Matches
Andreas Cornelius,dk DEN,FW,Parma,it Serie A,26,1993,15.9,8,6,3,3,2,2,11,18.2,9,212,57,26.9,16,107,89,5,1,0,4,2,27,0,Matches
Maxwel Cornet,ci CIV,"FW,DF",Lyon,fr Ligue 1,22,1996,14.8,28,14,20,5,3,17,26,65.4,9,219,68,31.1,83,82,54,20,2,0,18,19,30,0,Matches
Quentin Cornette,fr FRA,"FW,MF",Amiens,fr Ligue 1,25,1994,3.9,6,1,4,1,1,1,11,9.1,10,96,20,20.8,19,38,39,11,1,0,10,5,3,0,Matches
Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24,1995,22.9,23,15,8,5,10,6,40,15.0,34,410,123,30.0,71,189,150,39,6,0,33,14,20,0,Matches
Joaquín Correa,ar ARG,"FW,MF",Lazio,it Serie A,24,1994,20.4,14,11,5,7,2,3,22,13.6,19,347,91,26.2,43,146,158,8,2,0,6,6,8,0,Matches
Rober Correa,es ESP,DF,Eibar,es La Liga,26,1992,10.3,16,9,10,4,2,7,14,50.0,7,93,25,26.9,30,42,21,21,5,0,16,17,49,0,Matches
Thierry Correia,pt POR,DF,Valencia,es La Liga,20,1999,2.9,7,5,5,2,0,1,3,33.3,2,32,15,46.9,20,11,1,6,0,0,6,2,13,0,Matches
Antonio Cortés,es ESP,"FW,MF",Granada,es La Liga,19,2000,2.0,3,3,2,1,0,0,1,0.0,1,41,12,29.3,6,13,22,2,0,0,2,2,0,0,Matches
Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,35,1983,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Danny da Costa,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,26,1993,15.4,32,21,18,9,5,10,22,45.5,12,230,68,29.6,57,106,67,27,2,0,25,14,40,0,Matches
Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,30,1988,15.0,10,9,2,5,3,2,10,20.0,8,200,59,29.5,18,94,88,14,3,0,11,3,12,0,Matches
Douglas Costa,br BRA,"FW,MF",Juventus,it Serie A,28,1990,8.9,5,5,4,1,0,1,10,10.0,9,115,25,21.7,22,52,41,10,0,0,10,6,3,0,Matches
Jaume Costa,es ESP,DF,Valencia,es La Liga,31,1988,15.4,26,18,16,8,2,12,28,42.9,16,149,39,26.2,78,51,20,37,6,0,31,25,64,0,Matches
Nuno da Costa,cv CPV,"FW,MF",Strasbourg,fr Ligue 1,28,1991,5.9,11,6,2,6,3,3,10,30.0,7,130,31,23.8,9,59,62,12,1,0,11,5,3,0,Matches
David Costas,es ESP,DF,Celta Vigo,es La Liga,24,1995,3.8,7,4,6,1,0,0,3,0.0,3,26,9,34.6,19,4,3,6,4,0,2,6,19,0,Matches
Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28.0,0,0,0,0,0,0,3,0.0,3,7,3,42.9,7,0,0,0,0,0,0,2,3,0,Matches
Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,27,1991,18.0,11,7,0,7,4,3,9,33.3,6,252,68,27.0,4,88,160,10,2,0,8,5,29,0,Matches
Senou Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,24,1994,7.4,12,5,8,4,0,3,6,50.0,3,80,20,25.0,60,18,2,16,11,0,5,10,53,0,Matches
Yoann Court,fr FRA,"FW,MF",Brest,fr Ligue 1,29,1990,16.3,57,32,32,20,5,20,69,29.0,49,328,79,24.1,84,156,88,23,0,0,23,14,17,0,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34.0,0,0,0,0,0,0,2,0.0,2,1,0,0.0,1,0,0,0,0,0,0,2,3,2,Matches
Philippe Coutinho,br BRA,"MF,FW",Bayern Munich,de Bundesliga,27,1992,15.7,28,25,1,17,10,4,16,25.0,12,235,92,39.1,20,124,91,14,2,0,12,6,3,0,Matches
Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,20,1999,6.2,6,4,4,2,0,0,3,0.0,3,53,11,20.8,39,14,0,13,6,0,7,8,27,0,Matches
Alessio Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,14.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,1,0,Matches
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,29,1989,30.3,48,29,25,18,5,24,59,40.7,35,355,118,33.2,185,130,40,64,10,0,54,35,92,2,Matches
Domenico Criscito,it ITA,DF,Genoa,it Serie A,32,1986,22.1,68,43,46,16,6,26,60,43.3,34,308,98,31.8,174,103,31,52,15,0,37,48,81,1,Matches
Bryan Cristante,it ITA,MF,Roma,it Serie A,24,1995,16.6,24,13,6,14,4,10,27,37.0,17,289,68,23.5,95,143,51,19,3,0,16,23,30,0,Matches
Sebastián Cristóforo,uy URU,MF,Fiorentina,it Serie A,25,1993,1.0,5,4,3,1,1,2,6,33.3,4,19,8,42.1,10,7,2,2,1,0,1,1,0,0,Matches
Sebastián Cristóforo,uy URU,MF,Eibar,es La Liga,25,1993,9.7,42,24,14,17,11,9,28,32.1,19,257,80,31.1,68,127,62,31,3,0,28,8,2,0,Matches
Juan Cuadrado,co COL,"DF,FW",Juventus,it Serie A,31,1988,28.5,74,40,39,29,6,30,63,47.6,33,340,102,30.0,149,140,51,50,9,0,41,36,53,0,Matches
Cucho,co COL,"FW,MF",Mallorca,es La Liga,20,1999,16.5,19,11,9,9,1,4,15,26.7,11,259,61,23.6,58,120,81,20,2,0,18,12,14,0,Matches
Marc Cucurella,es ESP,"MF,DF",Getafe,es La Liga,21,1998,36.0,88,62,31,45,12,27,82,32.9,55,938,304,32.4,229,459,250,76,8,1,68,33,41,0,Matches
Iván Cuéllar,es ESP,GK,Leganés,es La Liga,35,1984,27.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,1,3,1,Matches
Jaume Cuéllar,bo BOL,MF,SPAL,it Serie A,17,2001,0.1,0,0,0,0,0,0,0,,0,5,2,40.0,0,2,3,1,0,0,1,0,0,0,Matches
Mickaël Cuisance,fr FRA,"MF,FW",Bayern Munich,de Bundesliga,19,1999,3.4,5,3,1,2,2,1,10,10.0,9,87,19,21.8,16,39,32,5,1,0,4,3,2,0,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,de Bundesliga,20,1999,8.3,12,9,6,5,1,4,11,36.4,7,177,45,25.4,25,82,70,17,1,0,16,9,2,0,Matches
Matheus Cunha,br BRA,"FW,MF",RB Leipzig,de Bundesliga,20,1999,3.1,7,4,0,2,5,0,3,0.0,3,109,23,21.1,8,50,51,5,2,0,3,1,0,0,Matches
Felipe Curcio,br BRA,DF,Brescia,it Serie A,26,1993,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,Matches
Patrick Cutrone,it ITA,FW,Fiorentina,it Serie A,21,1998,8.3,8,6,3,2,3,0,14,0.0,14,205,45,22.0,30,85,90,8,2,0,6,1,5,0,Matches
Patrick Cutrone,it ITA,FW,Wolves,eng Premier League,21,1998,3.3,6,4,3,1,2,1,5,20.0,4,95,26,27.4,9,43,43,1,1,0,0,2,1,0,Matches
Wylan Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,19.7,22,16,7,14,1,7,34,20.6,27,336,92,27.4,85,209,42,14,2,0,12,18,15,0,Matches
Rafael Czichos,de GER,DF,Köln,de Bundesliga,29,1990,24.5,49,37,32,15,2,17,43,39.5,26,250,94,37.6,155,90,5,52,22,1,30,35,169,2,Matches
Lennart-Marten Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,0.2,0,0,0,0,0,0,0,,0,7,4,57.1,1,3,3,2,0,0,2,0,0,0,Matches
Marco D'Alessandro,it ITA,"DF,MF",SPAL,it Serie A,28,1991,7.2,16,8,6,6,4,3,9,33.3,6,116,35,30.2,36,43,37,10,0,0,10,4,7,0,Matches
Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,30,1988,13.7,30,18,16,9,5,13,34,38.2,21,254,69,27.2,86,123,45,20,5,0,15,13,25,0,Matches
Felice D'Amico,it ITA,MF,Sampdoria,it Serie A,18,2000,0.0,2,1,1,0,1,1,1,100.0,0,5,1,20.0,3,1,1,0,0,0,0,0,0,0,Matches
Lucas Da Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,0.8,1,1,1,0,0,0,1,0.0,1,19,7,36.8,9,5,5,0,0,0,0,0,0,0,Matches
Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,24.9,31,17,21,9,1,6,19,31.6,13,159,59,37.1,97,55,7,38,18,1,20,28,198,2,Matches
Bryan Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,10.5,21,11,11,7,3,4,15,26.7,11,163,53,32.5,58,70,35,16,3,0,13,8,10,0,Matches
Moanes Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,8.5,9,7,1,5,3,3,9,33.3,6,152,40,26.3,22,56,74,12,2,0,10,4,1,0,Matches
Moanes Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,0.3,1,1,0,0,1,0,0,,0,5,3,60.0,0,1,4,0,0,0,0,0,1,0,Matches
Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,7.4,7,4,3,1,3,3,9,33.3,6,87,26,29.9,40,32,15,12,1,0,11,5,11,0,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,23,1996,6.2,16,7,6,8,2,5,18,27.8,13,128,39,30.5,38,70,20,9,2,0,7,8,8,0,Matches
Leon Dajaku,de GER,DF,Bayern Munich,de Bundesliga,18,2001,0.1,0,0,0,0,0,0,1,0.0,1,4,1,25.0,1,2,1,0,0,0,0,1,0,0,Matches
Felipe dal Belo,br BRA,DF,SPAL,it Serie A,35,1984,11.1,14,8,7,7,0,9,18,50.0,9,112,32,28.6,59,52,1,21,12,0,9,8,36,0,Matches
Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,20,1999,0.7,3,2,3,0,0,2,4,50.0,2,8,4,50.0,3,2,3,1,0,0,1,2,4,0,Matches
Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,32,1986,1.4,1,0,0,1,0,1,2,50.0,1,26,5,19.2,20,6,0,5,1,0,4,1,4,1,Matches
Danilo,br BRA,DF,Juventus,it Serie A,28,1991,15.0,33,16,19,7,7,14,24,58.3,10,149,48,32.2,59,63,27,22,4,0,18,23,47,0,Matches
Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,32,1987,14.1,12,5,10,2,0,7,14,50.0,7,41,16,39.0,29,12,0,17,6,0,11,14,80,0,Matches
Kevin Danso,at AUT,DF,Southampton,eng Premier League,20,1998,3.1,8,4,4,4,0,5,8,62.5,3,41,10,24.4,26,13,2,9,4,0,5,3,15,0,Matches
Dante,br BRA,DF,Nice,fr Ligue 1,35,1983,21.0,36,19,28,8,0,14,21,66.7,7,166,60,36.1,119,41,6,47,19,0,28,27,103,0,Matches
Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,20,1999,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,Matches
Sergi Darder,es ESP,"MF,FW",Espanyol,es La Liga,25,1993,29.5,48,25,12,26,10,12,48,25.0,36,629,153,24.3,131,343,155,33,0,0,33,21,28,1,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,1990,25.1,57,40,19,28,10,7,47,14.9,40,630,173,27.5,138,350,142,50,8,0,42,26,29,2,Matches
Matteo Darmian,it ITA,DF,Parma,it Serie A,29,1989,27.8,68,36,42,23,3,30,69,43.5,39,448,117,26.1,234,148,66,64,17,0,47,25,76,0,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,2000,24.8,78,49,35,29,14,30,53,56.6,23,430,185,43.0,167,162,101,56,4,0,52,34,54,0,Matches
Ben Davies,wal WAL,DF,Tottenham,eng Premier League,26,1993,15.9,29,13,13,13,3,5,24,20.8,19,214,63,29.4,98,91,25,43,13,0,30,24,67,1,Matches
Tom Davies,eng ENG,MF,Everton,eng Premier League,21,1998,22.5,37,18,13,17,7,8,51,15.7,43,426,98,23.0,157,211,58,34,4,0,30,34,35,1,Matches
Keinan Davis,eng ENG,FW,Aston Villa,eng Premier League,21,1998,6.1,2,2,0,2,0,0,3,0.0,3,88,19,21.6,3,50,35,5,1,0,4,0,3,0,Matches
Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,24,1995,7.7,17,8,11,5,1,6,13,46.2,7,114,34,29.8,65,42,7,11,6,0,5,12,53,0,Matches
Craig Dawson,eng ENG,DF,Watford,eng Premier League,29,1990,26.2,30,19,15,13,2,14,31,45.2,17,183,72,39.3,106,66,11,56,35,1,21,34,165,1,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,31.0,44,28,11,18,15,11,58,19.0,47,554,177,31.9,83,230,241,31,2,0,29,19,19,1,Matches
Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,32,1987,15.7,20,15,14,5,1,6,11,54.5,5,137,42,30.7,89,42,6,39,20,0,19,34,88,2,Matches
Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,25,1994,29.4,60,35,33,20,7,21,72,29.2,51,656,181,27.6,266,276,114,46,6,0,40,24,9,0,Matches
Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,26,1992,5.2,11,5,7,4,0,6,12,50.0,6,48,16,33.3,23,20,5,12,1,0,11,8,15,0,Matches
Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,31,1988,24.9,16,9,4,9,3,11,32,34.4,21,235,62,26.4,77,91,67,46,7,0,39,20,86,0,Matches
Lucas Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,14.8,56,33,22,28,6,19,59,32.2,40,396,141,35.6,139,223,34,25,6,0,19,15,45,0,Matches
Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,1985,19.7,52,26,26,21,5,20,48,41.7,28,250,79,31.6,121,93,36,46,14,1,32,43,99,0,Matches
Troy Deeney,eng ENG,FW,Watford,eng Premier League,31,1988,24.7,24,17,2,14,8,9,30,30.0,21,460,109,23.7,53,227,180,20,2,0,18,11,22,0,Matches
Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,28,1991,10.9,11,9,4,5,2,3,16,18.8,13,226,60,26.5,30,104,92,14,0,0,14,3,6,0,Matches
Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,23,1995,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,1,0,Matches
Alessandro Deiola,it ITA,MF,Lecce,it Serie A,23,1995,8.0,19,12,8,11,0,10,21,47.6,11,152,45,29.6,62,69,21,15,4,0,11,7,19,0,Matches
Romain Del Castillo,fr FRA,"FW,MF",Rennes,fr Ligue 1,23,1996,13.8,25,19,9,12,4,8,34,23.5,26,348,81,23.3,67,181,100,16,5,0,11,8,7,0,Matches
